Date,Event
"(datetime.datetime(2021, 4, 28, 0, 0), datetime.datetime(2021, 5, 6, 0, 0))",Most violent period of strike in Cali
"(datetime.datetime(2021, 5, 9, 0, 0), datetime.datetime(2021, 5, 29, 0, 0))",Power vacuum in Cali
"(datetime.datetime(2021, 6, 1, 0, 0), datetime.datetime(2021, 6, 11, 0, 0))",Colombian Army dismantles most road blockages
"(datetime.datetime(2021, 6, 8, 0, 0), datetime.datetime(2021, 6, 10, 0, 0))",Inter-American High Court of Human Rights visits Colombia
