,User,Location,cleaned_location,not_colombian,location_array,city,department,country,address,latitude,longitude
15,Cephalosporium,"Cali, Colombia","cali, colombia",False,"['cali', ' colombia']",cali,valle del cauca,colombia,"Cali, Sur, Valle del Cauca, Pacífica, Colombia",3.4517923,-76.5324943
16,Lucio_Biglione,"#General Cabrera,Cordoba","general cabrera,cordoba",False,"['general cabrera', 'cordoba']",cordoba,quindio,colombia,"Córdoba, Cordillerana, Quindío, Región Andina, 632020, Colombia",4.3956015,-75.65184722754586
28,Camiloramirez_s,"Bogotá , Colombia","bogota , colombia",False,"['bogota ', ' colombia']",bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
33,RichardRiCampo,Cali - Valle,"cali , valle",False,"['cali ', ' valle']",cali,valle del cauca,colombia,"Cali, Sur, Valle del Cauca, Pacífica, Colombia",3.4517923,-76.5324943
38,activistica,Colombia,colombia,False,['colombia'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
46,EillenSayan,"Colombia,mi casa","colombia,mi casa",False,"['colombia', 'mi casa']",colombia,huila,colombia,"Huila, Región Andina, Colombia",2.4738993,-75.5900113
49,LuisamEV,"Colombia, Medellin.","colombia, medellin ",False,"['colombia', ' medellin ']",colombia,huila,colombia,"Huila, Región Andina, Colombia",2.4738993,-75.5900113
51,_me_dicen_leii,Colombia,colombia,False,['colombia'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
52,Djwaicolombia,"Bogotá, D.C., Colombia","bogota,  , colombia",False,"['bogota', '  ', ' colombia']",bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
55,VanattoClub,Bogotá,bogota,False,['bogota'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
60,juanbmxd,Santa Marta-Colombia,"santa marta,colombia",False,"['santa marta', 'colombia']",santa marta,magdalena,colombia,"Santa Marta, Magdalena, Caribe, 470004, Colombia",11.2430534,-74.2046826
