,User,Location,cleaned_location,not_colombian,location_array,city,department,country,address,latitude,longitude
62,Trippybass,@Bogota,bogota,False,['bogota'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
63,Inho38,"Cartagena, Colombia","cartagena, colombia",False,"['cartagena', ' colombia']",cartagena,bolivar,colombia,"Cartagena de Indias, Dique, Bolívar, Caribe, Colombia",10.4195841,-75.5271224
66,ciudadalterna,Pereira,pereira,False,['pereira'],pereira,risaralda,colombia,"Pereira, Centro, Perimetro Urbano Pereira, Pereira, Risaralda, Región Andina, 660002, Colombia",4.8142613,-75.6946776
69,vela_javier,Bogota,bogota,False,['bogota'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
71,TheBoxGalleryFL,"811-b Belvedere Road, West Palm Beach, Florida","811,b belvedere road, west palm beach, florida",False,"['811', 'b belvedere road', ' west palm beach', ' florida']",florida,valle del cauca,colombia,"Florida, Sur, Valle del Cauca, Pacífica, Colombia",3.30080485,-76.1905432829982
73,JaSalava,"Bucaramanga, Colombia.","bucaramanga, colombia ",False,"['bucaramanga', ' colombia ']",bucaramanga,santander,colombia,"Bucaramanga, Metropolitana, Santander, Región Andina, Colombia",7.1114611,-73.1172869
76,Entropia94,Colombia,colombia,False,['colombia'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
77,avelandiag,Bogotá,bogota,False,['bogota'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
78,flakomilan,"Bogotá, D.C., Colombia","bogota,  , colombia",False,"['bogota', '  ', ' colombia']",bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
82,andersender87,"Medellín, Colombia","medellin, colombia",False,"['medellin', ' colombia']",medellin,antioquia,colombia,"Medellín, Valle de Aburrá, Antioquia, Región Andina, 0500, Colombia",6.2443382,-75.573553
86,miltonjms,Colombia,colombia,False,['colombia'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
103,Primeralineamr2,"Medellín, Colombia","medellin, colombia",False,"['medellin', ' colombia']",medellin,antioquia,colombia,"Medellín, Valle de Aburrá, Antioquia, Región Andina, 0500, Colombia",6.2443382,-75.573553
106,JairoLozanoG,Valledupar,valledupar,False,['valledupar'],valledupar,cesar,colombia,"Valledupar, Caribe, Colombia",10.34311145,-73.37579338828454
110,omarquiones2,"Cali, Colombia","cali, colombia",False,"['cali', ' colombia']",cali,valle del cauca,colombia,"Cali, Sur, Valle del Cauca, Pacífica, Colombia",3.4517923,-76.5324943
113,EpicuroDeSamos_,"Bogotá, Colombia","bogota, colombia",False,"['bogota', ' colombia']",bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
114,RadioMalva,Valencia,valencia,False,['valencia'],valencia,cordoba,colombia,"Valencia, Alto Sinú, Córdoba, Caribe, Colombia",8.1995857,-76.20309098658663
115,jjesus_miguel,bogota ,bogota,False,['bogota'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
118,carlosandresmur,Colombia,colombia,False,['colombia'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
121,Jhonatan1__1,"Medellín, Colombia","medellin, colombia",False,"['medellin', ' colombia']",medellin,antioquia,colombia,"Medellín, Valle de Aburrá, Antioquia, Región Andina, 0500, Colombia",6.2443382,-75.573553
124,leopeleoes,Bogotá,bogota,False,['bogota'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
131,JacoboBlandon3,"Medellín, Colombia","medellin, colombia",False,"['medellin', ' colombia']",medellin,antioquia,colombia,"Medellín, Valle de Aburrá, Antioquia, Región Andina, 0500, Colombia",6.2443382,-75.573553
132,parescolombia,"Bogotá, Colombia","bogota, colombia",False,"['bogota', ' colombia']",bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
134,WENHERRERA14,"Bogotá, Colombia","bogota, colombia",False,"['bogota', ' colombia']",bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
136,Quindio_Resiste,Armenia,armenia,False,['armenia'],armenia,quindio,colombia,"Armenia, Capital, Quindío, Región Andina, 630004100, Colombia",4.536307,-75.6723751
140,LolaMedicen,Madrid,madrid,False,['madrid'],madrid,cundinamarca,colombia,"Madrid, Sabana Occidente, Región Andina, 250030, Colombia",4.7698951,-74.2844870998074
141,bc_mafe,"Medellin, Colombia","medellin, colombia",False,"['medellin', ' colombia']",medellin,antioquia,colombia,"Medellín, Valle de Aburrá, Antioquia, Región Andina, 0500, Colombia",6.2443382,-75.573553
144,FirmesMadrid,Madrid,madrid,False,['madrid'],madrid,cundinamarca,colombia,"Madrid, Sabana Occidente, Región Andina, 250030, Colombia",4.7698951,-74.2844870998074
152,klaraseni,Colombia - Malegría Town,"colombia , malegria town",False,"['colombia ', ' malegria town']",colombia,huila,colombia,"Huila, Región Andina, Colombia",2.4738993,-75.5900113
153,__UnaTalDaniela,"Cali, Valle del Cauca","cali, valle del cauca",False,"['cali', ' valle del cauca']",cali,valle del cauca,colombia,"Cali, Sur, Valle del Cauca, Pacífica, Colombia",3.4517923,-76.5324943
155,lademarketiando,Envigado - Antioquia,"envigado , antioquia",False,"['envigado ', ' antioquia']",envigado,antioquia,colombia,"Envigado, Valle de Aburrá, Antioquia, Región Andina, 055422, Colombia",6.1701348,-75.587415
160,KikeVis,Colombia,colombia,False,['colombia'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
163,JaviMontoyaz,Colombia,colombia,False,['colombia'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
165,MONYRODRIGUEZOF,"BOGOTA, COLOMBIA","bogota, colombia",False,"['bogota', ' colombia']",bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
166,DarWin_90_Mach,"Ibagué, Colombia","ibague, colombia",False,"['ibague', ' colombia']",ibague,tolima,colombia,"Ibagué, Centro, Tolima, Región Andina, 730001, Colombia",4.4446595,-75.2430012
169,fortich79,Bogotá D.C.,bogota  ,False,['bogota  '],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
174,Santiago_valmo,"Barranquilla, Colombia","barranquilla, colombia",False,"['barranquilla', ' colombia']",barranquilla,atlantico,colombia,"Barranquilla, Atlántico, Caribe, 080006, Colombia",10.9799669,-74.8013085
175,bettoespectador,Bogotá Colombia,bogota colombia,False,['bogota colombia'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
190,fase29_,"Medellín, Colombia","medellin, colombia",False,"['medellin', ' colombia']",medellin,antioquia,colombia,"Medellín, Valle de Aburrá, Antioquia, Región Andina, 0500, Colombia",6.2443382,-75.573553
192,Cesar90431612,"Bello, Colombia","bello, colombia",False,"['bello', ' colombia']",bello,antioquia,colombia,"Bello, Valle de Aburrá, Antioquia, Región Andina, 051053, Colombia",6.334997,-75.5582665
199,olga73427503,"California, USA 🇺🇸","california, usa 🇺🇸",False,"['california', ' usa 🇺🇸']",california,santander,colombia,"California, Soto Norte, Santander, Región Andina, Colombia",7.34643385,-72.9518902588853
208,BITLOBOInvers,"California, USA","california, usa",False,"['california', ' usa']",california,santander,colombia,"California, Soto Norte, Santander, Región Andina, Colombia",7.34643385,-72.9518902588853
246,jimolinaarroyo,Andalucía,andalucia,False,['andalucia'],andalucia,valle del cauca,colombia,"Andalucía, Centro, Valle del Cauca, Pacífica, Colombia",4.13615295,-76.1575945087867
251,cancinodiegoa,"Bogota, Colombia","bogota, colombia",False,"['bogota', ' colombia']",bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
260,BtoCgt,"Madrid, Comunidad de Madrid","madrid, comunidad de madrid",False,"['madrid', ' comunidad de madrid']",madrid,cundinamarca,colombia,"Madrid, Sabana Occidente, Región Andina, 250030, Colombia",4.7698951,-74.2844870998074
272,jhoseph227,"BUCARAMANGA, COLOMBIA.","bucaramanga, colombia ",False,"['bucaramanga', ' colombia ']",bucaramanga,santander,colombia,"Bucaramanga, Metropolitana, Santander, Región Andina, Colombia",7.1114611,-73.1172869
275,cacicaV,Colombia 🇨🇴 ,colombia ,False,['colombia '],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
283,IntCCOO,Madrid,madrid,False,['madrid'],madrid,cundinamarca,colombia,"Madrid, Sabana Occidente, Región Andina, 250030, Colombia",4.7698951,-74.2844870998074
290,jmporquet,Zaragoza,zaragoza,False,['zaragoza'],zaragoza,antioquia,colombia,"Zaragoza, Bajo Cauca, Antioquia, Región Andina, Colombia",7.4949425000000005,-74.93071761130234
311,mariafotografa7,Sevilla,sevilla,False,['sevilla'],sevilla,valle del cauca,colombia,"Sevilla, Nororiente, Valle del Cauca, Pacífica, 762538, Colombia",4.1569974,-75.87379962587073
312,auroragvilustra,Santander,santander,False,['santander'],zapatoca,santander,colombia,"Zapatoca, Metropolitana, Santander, Región Andina, 604069, Colombia",6.8510075,-73.21755835806745
321,Marovaan,Bogotá ,bogota,False,['bogota'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
323,JOALVARA,"BOGOTA, COLOMBIA","bogota, colombia",False,"['bogota', ' colombia']",bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
332,FelipeNN7,"Cali, Colombia","cali, colombia",False,"['cali', ' colombia']",cali,valle del cauca,colombia,"Cali, Sur, Valle del Cauca, Pacífica, Colombia",3.4517923,-76.5324943
333,cristianariza_,Colombia,colombia,False,['colombia'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
337,Nandito_Mijo,Bogotá ,bogota,False,['bogota'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
343,jgomez_fip,"manizales, Colombia","manizales, colombia",False,"['manizales', ' colombia']",manizales,caldas,colombia,"Perímetro Urbano Manizales, Manizales, Centrosur, Caldas, Región Andina, Colombia",5.0668907,-75.5066661
346,eddierth,Pereira,pereira,False,['pereira'],pereira,risaralda,colombia,"Pereira, Centro, Perimetro Urbano Pereira, Pereira, Risaralda, Región Andina, 660002, Colombia",4.8142613,-75.6946776
348,Peace_Presence,Colombia,colombia,False,['colombia'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
349,StePozzebon,Bogota,bogota,False,['bogota'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
354,MariaParraArcos,Líbano - Ibagué ,"libano , ibague",False,"['libano ', ' ibague']",libano,tolima,colombia,"Líbano, Nevados, Tolima, Región Andina, Colombia",4.875904950000001,-75.0378473881652
355,citypaperbogota,"Bogotá, Colombia","bogota, colombia",False,"['bogota', ' colombia']",bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
359,jennto,"Cali, Colombia","cali, colombia",False,"['cali', ' colombia']",cali,valle del cauca,colombia,"Cali, Sur, Valle del Cauca, Pacífica, Colombia",3.4517923,-76.5324943
361,Prince_Josep07,"Barbacoas, Nariño","barbacoas, nariño",False,"['barbacoas', ' nariño']",barbacoas,nariño,colombia,"Barbacoas, Telembí, Nariño, Pacífica, Colombia",1.4961365500000001,-78.07644620333627
365,agudelo_tovar,Cartago ,cartago,False,['cartago'],cartago,valle del cauca,colombia,"Cartago, Norte, Valle del Cauca, Pacífica, Colombia",4.7465494,-75.9121234
372,criptikalsoul,Bogota Colombia,bogota colombia,False,['bogota colombia'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
374,LUX3R3,bogota,bogota,False,['bogota'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
375,fsceleste,"Cali, Colombia","cali, colombia",False,"['cali', ' colombia']",cali,valle del cauca,colombia,"Cali, Sur, Valle del Cauca, Pacífica, Colombia",3.4517923,-76.5324943
378,JenniferPedraz,"Bogotá, D.C., Colombia","bogota,  , colombia",False,"['bogota', '  ', ' colombia']",bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
382,WilliamTorres23,"Barranquilla, Colombia","barranquilla, colombia",False,"['barranquilla', ' colombia']",barranquilla,atlantico,colombia,"Barranquilla, Atlántico, Caribe, 080006, Colombia",10.9799669,-74.8013085
383,AnaKgv,"Santa Marta, Colombia","santa marta, colombia",False,"['santa marta', ' colombia']",santa marta,magdalena,colombia,"Santa Marta, Magdalena, Caribe, 470004, Colombia",11.2430534,-74.2046826
384,LauraBenavdezR1,"Cali, Colombia","cali, colombia",False,"['cali', ' colombia']",cali,valle del cauca,colombia,"Cali, Sur, Valle del Cauca, Pacífica, Colombia",3.4517923,-76.5324943
386,AcFerreiraR,Bogotá D.C,bogota ,False,['bogota '],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
387,LuisEdu620829,Colombia,colombia,False,['colombia'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
390,MariaySusLetras,"Bogotá, D.C., Colombia","bogota,  , colombia",False,"['bogota', '  ', ' colombia']",bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
391,diegomillan_pcc,Bogotá,bogota,False,['bogota'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
392,JoseRobayo,colombia,colombia,False,['colombia'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
395,HailGU2,Colombia,colombia,False,['colombia'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
400,Mayo_Hemelson,"Quibdó, Colombia","quibdo, colombia",False,"['quibdo', ' colombia']",quibdo,choco,colombia,"Quibdó, Atrato, Chocó, Pacífica, Colombia",5.6923407,-76.6583801
401,nikovive,Cali Colombia,cali colombia,False,['cali colombia'],cali,valle del cauca,colombia,"Cali, Sur, Valle del Cauca, Pacífica, Colombia",3.4517923,-76.5324943
406,AlejandroCobo2,"Jamundi, valle, colombia","jamundi, valle, colombia",False,"['jamundi', ' valle', ' colombia']",jamundi,valle del cauca,colombia,"Jamundí, Sur, Valle del Cauca, Pacífica, Colombia",3.2246641,-76.61887027339063
407,MaraCamilaGil4,"Barrancabermeja, Colombia","barrancabermeja, colombia",False,"['barrancabermeja', ' colombia']",barrancabermeja,santander,colombia,"Barrancabermeja, Yariguíes, Santander, Región Andina, 687031, Colombia",7.0673313,-73.8525627
408,Andres_M006,"Soacha, Colombia","soacha, colombia",False,"['soacha', ' colombia']",soacha,cundinamarca,colombia,"Soacha, Región Andina, Colombia",4.50809255,-74.19711181903101
409,SEMCordoba,"Bogotá, D.C., Colombia","bogota,  , colombia",False,"['bogota', '  ', ' colombia']",bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
412,NENI06_92,"Bogotá, Colombia","bogota, colombia",False,"['bogota', ' colombia']",bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
414,ivancamilodavil,"Bogotá D.C., Colombia","bogota  , colombia",False,"['bogota  ', ' colombia']",bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
415,SantaParanoica,"Palmira, Colombia","palmira, colombia",False,"['palmira', ' colombia']",palmira,valle del cauca,colombia,"Palmira, Sur, Valle del Cauca, Pacífica, Colombia",3.5308373,-76.2988048
416,paolaorozco26,Bogotá,bogota,False,['bogota'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
418,humana_red,Colombia,colombia,False,['colombia'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
419,to_domal,Colombia,colombia,False,['colombia'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
420,j0s4p3,"Medellín, Colombia","medellin, colombia",False,"['medellin', ' colombia']",medellin,antioquia,colombia,"Medellín, Valle de Aburrá, Antioquia, Región Andina, 0500, Colombia",6.2443382,-75.573553
421,LiliCastanedaM,"Bogotá, Colombia","bogota, colombia",False,"['bogota', ' colombia']",bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
422,Luisa_7v7r,Bogotá- Colombia,"bogota, colombia",False,"['bogota', ' colombia']",bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
425,aeternalux_,"Medellín, Antioquia","medellin, antioquia",False,"['medellin', ' antioquia']",medellin,antioquia,colombia,"Medellín, Valle de Aburrá, Antioquia, Región Andina, 0500, Colombia",6.2443382,-75.573553
426,Daniela91669309,"Cali, Colombia","cali, colombia",False,"['cali', ' colombia']",cali,valle del cauca,colombia,"Cali, Sur, Valle del Cauca, Pacífica, Colombia",3.4517923,-76.5324943
427,luzmi85486713,"Cali, Colombia","cali, colombia",False,"['cali', ' colombia']",cali,valle del cauca,colombia,"Cali, Sur, Valle del Cauca, Pacífica, Colombia",3.4517923,-76.5324943
429,ElconceptoB,"Bogotá, DC, Colombia","bogota,, colombia",False,"['bogota', '', ' colombia']",bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
432,Masizo77,Armenia-Quindio,"armenia,quindio",False,"['armenia', 'quindio']",armenia,quindio,colombia,"Armenia, Capital, Quindío, Región Andina, 630004100, Colombia",4.536307,-75.6723751
433,Credhos_Paz,BARRANCABERMEJA,barrancabermeja,False,['barrancabermeja'],barrancabermeja,santander,colombia,"Barrancabermeja, Yariguíes, Santander, Región Andina, 687031, Colombia",7.0673313,-73.8525627
435,EducalSindicato,Manizales,manizales,False,['manizales'],manizales,caldas,colombia,"Perímetro Urbano Manizales, Manizales, Centrosur, Caldas, Región Andina, Colombia",5.0668907,-75.5066661
436,Juandatorres24,"Bogotá, D.C., Colombia","bogota,  , colombia",False,"['bogota', '  ', ' colombia']",bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
438,jorgeisaac342_,Colombia,colombia,False,['colombia'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
439,BohorquezPablo,Bogota,bogota,False,['bogota'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
440,Danperzv,"Medellín, Colombia","medellin, colombia",False,"['medellin', ' colombia']",medellin,antioquia,colombia,"Medellín, Valle de Aburrá, Antioquia, Región Andina, 0500, Colombia",6.2443382,-75.573553
442,AlexisCardonaun,"Bogotá, D.C., Colombia","bogota,  , colombia",False,"['bogota', '  ', ' colombia']",bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
443,FUNComisiones,Colombia,colombia,False,['colombia'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
445,AndresilvaRF,Santiago de Cali,santiago de cali,False,['santiago de cali'],santiago de cali,valle del cauca,colombia,"Cali, Sur, Valle del Cauca, Pacífica, Colombia",3.4517923,-76.5324943
446,jordonezachury,Bogotá-Colombia,"bogota,colombia",False,"['bogota', 'colombia']",bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
447,bluehell_01,"Bogotá, D.C., Colombia","bogota,  , colombia",False,"['bogota', '  ', ' colombia']",bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
449,DuglasPulgarin,Colombia,colombia,False,['colombia'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
451,GarzonUnal,"Bogotá, Colombia","bogota, colombia",False,"['bogota', ' colombia']",bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
452,CaroNazin,Colombia,colombia,False,['colombia'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
453,SoloMike__,Bogotá - Colombia,"bogota , colombia",False,"['bogota ', ' colombia']",bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
455,daab36,Colombia,colombia,False,['colombia'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
458,PoloDemocratico,Colombia,colombia,False,['colombia'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
463,Chajinero,"Barranquilla, Colombia. ","barranquilla, colombia ",False,"['barranquilla', ' colombia ']",barranquilla,atlantico,colombia,"Barranquilla, Atlántico, Caribe, 080006, Colombia",10.9799669,-74.8013085
466,sindychris,Medellín,medellin,False,['medellin'],medellin,antioquia,colombia,"Medellín, Valle de Aburrá, Antioquia, Región Andina, 0500, Colombia",6.2443382,-75.573553
470,SrWeedCol,"Medellín, Colombia","medellin, colombia",False,"['medellin', ' colombia']",medellin,antioquia,colombia,"Medellín, Valle de Aburrá, Antioquia, Región Andina, 0500, Colombia",6.2443382,-75.573553
471,Michaelbedoya12,Colombia,colombia,False,['colombia'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
472,cuestion_p,Colombia,colombia,False,['colombia'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
473,Col_Informa,Colombia,colombia,False,['colombia'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
474,arleycori,"Cali, Colombia","cali, colombia",False,"['cali', ' colombia']",cali,valle del cauca,colombia,"Cali, Sur, Valle del Cauca, Pacífica, Colombia",3.4517923,-76.5324943
475,GiovanniPaez,"Tunja, Boyacá, Colombia","tunja, boyaca, colombia",False,"['tunja', ' boyaca', ' colombia']",tunja,boyaca,colombia,"Tunja, Centro, Boyacá, Región Andina, 150001, Colombia",5.5324313,-73.3616014
477,cerosetenta,Bogotá-Colombia,"bogota,colombia",False,"['bogota', 'colombia']",bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
478,Kara_2608,manizales,manizales,False,['manizales'],manizales,caldas,colombia,"Perímetro Urbano Manizales, Manizales, Centrosur, Caldas, Región Andina, Colombia",5.0668907,-75.5066661
479,MrJuanJimenez,"Pereira, Colombia","pereira, colombia",False,"['pereira', ' colombia']",pereira,risaralda,colombia,"Pereira, Centro, Perimetro Urbano Pereira, Pereira, Risaralda, Región Andina, 660002, Colombia",4.8142613,-75.6946776
480,Romero_reinel,"Bogotá, D.C., Colombia","bogota,  , colombia",False,"['bogota', '  ', ' colombia']",bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
481,felojazzsax,"Bogotá, Colombia","bogota, colombia",False,"['bogota', ' colombia']",bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
482,jcborreroc,Colombia,colombia,False,['colombia'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
483,ONUHumanRights,Colombia,colombia,False,['colombia'],bogota,capital district,colombia,"Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652
484,Lafebr30,"Manizales, Colombia","manizales, colombia",False,"['manizales', ' colombia']",manizales,caldas,colombia,"Perímetro Urbano Manizales, Manizales, Centrosur, Caldas, Región Andina, Colombia",5.0668907,-75.5066661
487,juanmartinbc,Cali,cali,False,['cali'],cali,valle del cauca,colombia,"Cali, Sur, Valle del Cauca, Pacífica, Colombia",3.4517923,-76.5324943
