Topic Number,Topic Name
1,"Protest in Colombia, police violence"
2,"Government and politician, Government violence"
3,People discussing about national strike and livelihood
4,"Preference, desire, wish for equality"
5,Financial concerns relating to tax/ government policy
6,People believe that there are corruption and kills
7,People are accusing the president of being associated with narcos (drugs). This is being publicised in socials
8,"Dictatorship in Colombia.Citizens, possibly the young, are missing from the streets, Citizens should be defended"
