,Unnamed: 0,Datetime,Tweet Id,Text,Username,preprocessed_data
0,0,2021-08-18 00:03:07+00:00,1427783076504035337,@psico_kaizen Fuera #fueravenezolanos,Maxiespin8221,['fueravenezano']
1,1,2021-08-12 14:15:12+00:00,1425823186059419649,"@Santi21457893 Felicitaciones, hay que seguirles dando duro a esos hptas, no les den trabajo, posada y mucho menos dinero o limosna. #fueravenezolanos",uribesial2022,"['felicitación', 'seguir', 'él', 'dar', 'duro', 'hpta', 'dar', 'trabajo', 'posado', 'menos', 'dinero', 'limosna', 'fueravenezolano']"
2,2,2021-08-12 00:04:16+00:00,1425609039023677447,"No más. No aguantamos más violencia a manos de venezolanos, hemos sufrido violencia desde siempre. No más, no controlamos los nacionales ahora menos los delincuentes extranjeros. #fueraVenezolanos",sassena09,"['mas', 'aguantar', 'mas', 'violencia', 'mano', 'venezolano', 'sufrido', 'violencia', 'siempre', 'mas', 'controlar', 'nacional', 'ahora', 'menos', 'delincuente', 'extranjero', 'fueravenezolano']"
3,3,2021-08-11 19:51:49+00:00,1425545510669127685,@VickyDavilaH #fueravenezolanos fueraaaaaaaaaa,DjRolita,"['fueravenezano', 'ir']"
4,4,2021-08-11 19:50:35+00:00,1425545200319991809,@WaRRiOr60023681 @VickyDavilaH #fueravenezolanos infelices porque no se largan para su país,DjRolita,"['fueravenezano', 'infeliz', 'largar', 'pais']"
5,5,2021-08-11 19:28:04+00:00,1425539531147730947,@IvanDuque @PoliciaColombia #fueravenezolanos,Vivi73973193,['fueravenezano']
6,6,2021-08-11 19:27:35+00:00,1425539410666393608,@Puntodequiebr15 #fueravenezolanos,Vivi73973193,['fueravenezano']
7,7,2021-08-11 19:26:42+00:00,1425539187986640900,@VickyDavilaH #fueravenezolanos,Vivi73973193,['fueravenezano']
8,8,2021-08-11 18:52:27+00:00,1425530570990395401,"@NoticiasCaracol Hasta cuando nos tendremos que aguantar estos venezolanos asesinos, delincuentes, #fueravenezolanos",MAURICIOBIN551,"['aguantar', 'venezolano', 'asesino', 'delincuente', 'fueravenezolano']"
9,9,2021-08-11 18:37:59+00:00,1425526927964741632,@UltimaHoraBLU Increíble Bogotá está en manos de HP venezolanos que no les importa disparar contra la vida de una persona #fueravenezolanos,ceandresss,"['increible', 'bogota', 'mano', 'hp', 'venezolano', 'importar', 'disparar', 'vida', 'persona', 'fueravenezolano']"
10,10,2021-08-11 09:50:38+00:00,1425394215962431490,"TODOS dejamos el globalista censurador twatter, suprime la verdad hace meses había cientos de tweets (docenas diarios) con el #FueraVenezolanos ahora hay pocos silencian el hecho que NADIE los quiere y deben largarse de NL, les durara poco el teatro no saben la que se les viene",FPNuevoLeon,"['dejar', 'globalista', 'censurador', 'twatter', 'suprimir', 'verdad', 'hacer', 'mes', 'haber', 'ciento', 'tweete', 'doceno', 'diario', 'fueravenezolano', 'ahora', 'poco', 'silenciar', 'hecho', 'nadie', 'querer', 'deber', 'largar', 'él', 'nl', 'durar', 'teatro', 'saber', 'venir']"
11,11,2021-08-10 16:09:01+00:00,1425127050612989955,"Asco de programa @aztecanoreste @CadaManana7 pagarán y rendirán cuentas cuando recuperemos NL, quiten detestable sudaca Antronella; que vuelva @JazminconJ @SandraCanales @Nansalinas7 pongan REGIAS por eso @genteregiatv con @katyamtz les gana rating #FueraSudacas #FueraVenezolanos",FPNuevoLeon,"['asco', 'programa', 'pagar', 'rendir', 'cuenta', 'recuperar', 'nl', 'quitar', 'detestable', 'sudaca', 'antronella', 'volver', 'poner', 'regio', 'gana', 'rating', 'fuerasudacas', 'fueravenezolano']"
12,12,2021-07-29 21:09:33+00:00,1420854027600990212,"Hasta cuando el #Ecuador va a seguir tolerando esto, #fueravenezolanos del País malditas ratas vienen a crear delincuencia, el desempleo, hasta cuando @LassoGuillermo @ABorreroVega @VillaFernando_ @teleamazonasec @CrudoEcuador_ @revistavistazo @FiscaliaEcuador @MinGobiernoEc https://t.co/4IFHmRR3aQ",Cris58cJIM,"['ecuador', 'ir', 'seguir', 'tolerar', 'fueravenezano', 'pais', 'maldito', 'rata', 'venir', 'crear', 'delincuencia', 'desempleo']"
13,13,2021-07-21 13:26:24+00:00,1417838369070067712,#Venezolanos secuestran venezolanos en Chile. La BASURA es igual donde estén!!! #FueraVenezolanos,SantiagoEscribo,"['venezolano', 'secuestrar', 'venezolano', 'chile', 'basura', 'igual', 'estar', 'fueravenezolano']"
14,14,2021-07-13 01:40:28+00:00,1414761612582531074,"@CHVNoticitas_cl 

Por que #victimizan a los #ilegales por que no entran por #Pasos #legales ?

Estas mismos #migrantes son los que estan conformando las #Guerrillas #Narco que #azolan hoy #Chile 
#FueraVenezolanos 
No mas #NarcoMigracion",PDesolacion,"['victimizar', 'ilegal', 'entrar', 'paso', 'legal', 'mismo', 'migrante', 'estar', 'conformar', 'guerrilla', 'narco', 'azolar', 'hoy', 'chile', 'fueravenezolano', 'mas', 'narcomigracion']"
15,15,2021-07-11 17:24:46+00:00,1414274478977261570,"#FueraVenezolanos
#NoMasNarcoMigrantes
#NoMasMigrantesDelincuentes 

Digan las cosas por su nombre 
Los #Narcos #Venezolanos #Colombianos se estan tomando los #Barrios de #Todos #Secuestrando la #Libertad del #Pueblo 
Liberen los #CITES https://t.co/dMTCmFQfWu",PDesolacion,"['fueravenezano', 'nomasnarcomigrante', 'nomasmigrantesdesdes', 'decir', 'cosa', 'nombre', 'narco', 'venezolano', 'colombiano', 'estar', 'tomar', 'barrio', 'secuestrar', 'libertad', 'pueblo', 'liberar', 'cite']"
16,16,2021-07-01 00:49:07+00:00,1410400038568796160,"@jcarreraandrade @LassoGuillermo @CREOEcuador a estos #venezolanos piensa ayudar este gobierno. Ojalá sea para que salgan de país, suficiente tenemos con desempleo y falta de vivienda para que ayuden a esta gente. Hay que unirnos como ecuatorianos para sacar está clase de gente #fueravenezolanos",sllano81,"['venezolano', 'pensar', 'ayudar', 'gobierno', 'ojala', 'salir', 'pais', 'suficiente', 'desempleo', 'faltar', 'vivienda', 'ayudar', 'gente', 'unirno', 'ecuatoriano', 'sacar', 'clase', 'gente', 'fueravenezolano']"
17,17,2021-06-30 01:58:29+00:00,1410055105878147078,@mluciaramirez Este Narco-gobierno no le va a dar nada a esos 🐒🇻🇪🐒🇻🇪🐒 y luego dirán lo mismo para nunca darles NADA #fueravenezolanos #DuqueTitereDeUribe #duquehipocrita,nicoz2504,"['narcogobierno', 'ir', 'dar', 'luego', 'decir', 'mismo', 'nunca', 'dar', 'él', 'fueravenezano', 'duquetiteredeuribe', 'duquehipocrita']"
18,18,2021-06-17 18:44:31+00:00,1405597242417876993,"Duque pidiendo plata a EE.UU para los migrantes V€N€K0S otra vez. 

Esos Migrantes creen que se están aprovechando de este Gobierno Corrupto, pero es al revez, ese 🐖 HP se lo va a gastar en armas para la dictadura de su patrón #DuqueMentiroso #fueravenezolanos #UribeParacoHp",nicoz2504,"['duque', 'pedir', 'plata', 'eeuu', 'migrante', 'veurneurk', 'vez', 'migrante', 'creer', 'estar', 'aprovechar', 'gobierno', 'corrupto', 'revez', 'hp', 'ir', 'gastar', 'arma', 'dictadura', 'patron', 'duquementiroso', 'fueravenezolano', 'uribeparacohp']"
19,19,2021-06-14 03:29:47+00:00,1404279877759606787,@LassoGuillermo los Ecuatorianos pedimos que cierre fronteras y haga revisar antecedentes penales y sacar del Pais a extranjeros que esten mas de 3 meses esto no es Xenofobia cuantos Ecuatorianos mas seran Asaltados o Asesinados por estas ratas #fueraVenezolanos @DianaSalazarM2 https://t.co/cRzoT8gLUr,Cris58cJIM,"['ecuatoriano', 'pedir', 'cierre', 'frontera', 'hacer', 'revisar', 'antecedente', 'penal', 'sacar', 'pais', 'extranjero', 'estar', 'mas', 'mes', 'xenofobia', 'cuanto', 'ecuatoriano', 'mas', 'ser', 'asaltar', 'asesinado', 'rata', 'fueravenezolano']"
