,Unnamed: 0,Datetime,Tweet Id,Text,Username,preprocessed_data
0,0,2021-06-01 12:49:26+00:00,1399709674258194434,"Era así esa vuelta o qué:
😌😌
#PetroFueraDeTwitter #ApoyoAMiFuerzaPublica #NoMasParo #ParoDestructorSOS #UribeTieneLaRazon #UribeSomosTodos #LaVozDeUribeSomosTodos #YaDesbloquearon #YoApoyoAlEsmad https://t.co/amdy86ebk3",Pessimum_,"['asi', 'vuelta', 'petrofueradetwitter', 'apoyoamifuerzapuboico', 'nomasparo', 'parodestructo', 'uribetenelar', 'uribesomostodo', 'lavozdeuribe', 'yadesblocer', 'yoapoyoalesmad']"
1,1,2021-06-01 06:37:22+00:00,1399616041991421952,"@DiegoASantos #ParoAsesino #parodestructorsos 
#ComiteDelParonarcoterroristas",NOALCOMUNISMO_0,"['paroasesino', 'parodestructo', 'comitedelparonta']"
2,2,2021-05-30 22:44:42+00:00,1399134702125129728,"#orgullocolombiano #YoProtejoMiPais 
#ElComiteDelParoNoMeRepresenta #parodeasesinos #parodestructorsos 
#ElParoNoMeRepresenta https://t.co/sNLdrY06ha",ElPensador2020,"['orgullocolombiano', 'yoprotejomipais', 'elcomitedelparonomerepresenta', 'parodeasesino', 'parodestructo', 'elparonomerepresenta']"
3,3,2021-05-30 20:55:10+00:00,1399107138568531969,"#MananasBLU No lo digo yo, lo decimos millones de colombianos #ElParoNosSecuestra de acuerdo con Miguel Uribe https://t.co/xQ2BKAjCMm #orgullocolombiano #YoProtejoMiPais 
#ElComiteDelParoNoMeRepresenta #parodeasesinos #parodestructorsos no vamos a permitir golpes de Estado https://t.co/HcYplTE8Um",CarrillonavasG,"['mananasblu', 'decir', 'decir', 'millón', 'colombiano', 'elparonossecuestra', 'acuerdo', 'miguel', 'uribe', 'orgullocolombiano', 'yoprotejomipais', 'elcomitedelparonomerepresenta', 'parodeasesino', 'parodestructo', 'ir', 'permitir', 'golpe']"
4,4,2021-05-27 22:25:15+00:00,1398042645348429824,"El K-pop y los hashtags #PetroFueraDeTwitter #ApoyoAMiFuerzaPublica #NoMasParo #ParoDestructorSOS #UribeTieneLaRazon #UribeSomosTodos #LaVozDeUribeSomosTodos a ""favor"" de protestas en Colombia. Un especial de @cronicaescena #CoordenadaCrónica https://t.co/fa5oRyjI8d",CronicaCultura,"['kpop', 'hashtag', 'petrofueradetwitter', 'apoyoamifuerzapuboico', 'nomasparo', 'parodestructo', 'uribetenelar', 'uribesomostodo', 'lavozdeuribe', 'favor', 'protesta', 'colombio', 'especial', 'coordenadacronico']"
5,5,2021-05-23 15:17:41+00:00,1396485494192676867,Los de la @ONU_derechos @ONU_es @ONUHumanRights dicen que debemos tolerar para no molestar a los angelitos del #ParoNacional21M #ParoAsesino #parodestructorsos #PetroBastaYa #PetroBastaYa #PetroEsUnHampon https://t.co/nDlJfmd8Jk,YASS31547764,"['decir', 'deber', 'tolerar', 'molestar', 'angelito', 'paronacional', 'paroasesino', 'parodestructo', 'petrobastaya', 'petrobastaya', 'petroesunhampon']"
6,6,2021-05-22 23:14:02+00:00,1396242982324613121,"Dolor es la falsa ilusión de un piercing real 🤧
#PetroBastaYa
#ParoMataBebes #ElParoViolaDDHH #RepudioAlVandalo  #NoMasBloqueos #NoMasParo #ApoyoAMiPolicia #ConmocionInteriorYA #DejanosPasar #ParoDestructorSOS https://t.co/ktbv80Grsj",Millie_0105,"['dolor', 'falso', 'ilusion', 'piercing', 'real', 'petrobastaya', 'paromatabebe', 'elparovioladdh', 'repudioalvandalo', 'nomasbloqueo', 'nomasparo', 'apoyoamipolicia', 'conmocioninteriorya', 'dejanospasar', 'parodestructo']"
7,7,2021-05-22 23:06:11+00:00,1396241007616876547,"Fueron momentos felices contigo, oh, hermoso piercing falso 😭

#ParoMataBebes  #NoMasBloqueos #NoMasParo #ApoyoAMiPolicia #ConmocionInteriorYA #DejanosPasar #ParoDestructorSOS #YoNoParoYoProduzco #mamertos https://t.co/8iWocpLJOl",Millie_0105,"['momento', 'feliz', 'tú', 'oh', 'hermoso', 'piercing', 'falso', 'paromatabebe', 'nomasbloqueo', 'nomasparo', 'apoyoamipolicia', 'conmocioninteriorya', 'dejanospasar', 'parodestructo', 'yonoparoyoproduzco', 'mamerto']"
8,8,2021-05-22 03:19:47+00:00,1395942440998260738,"@cutcolombia @maltescut1 @CGTCol @ctccolombia @OITAndina @fundacionFESCOL Gracias comunista por acabar con miles de empresas y destruir millones de trabajos con tus bloqueos terroristas 
#ParoDeAsesinos 
#ParoDestructorSOS 
#paroterrorista 
#ElParoDestruyoAColombia https://t.co/JOosEIckh8",freecolombia2,"['gracias', 'comunista', 'acabar', 'mil', 'empresa', 'destruir', 'millón', 'trabajo', 'bloqueo', 'terrorista', 'parodeasesino', 'parodestructo', 'paroterrorista', 'elparodestruyoacolombia']"
9,9,2021-05-21 03:01:17+00:00,1395575396721172482,"@PITCNT1 @maltescut1 Terrorista deja trabajar nos vas a matar a todos de hambre asesino 
#paroterrorista 
#ParoAsesino 
#ParoDestructorSOS",freecolombia2,"['terrorista', 'dejar', 'trabajar', 'ir', 'matar', 'hambre', 'asesino', 'paroterrorista', 'paroasesino', 'parodestructo']"
