,Unnamed: 0,Datetime,Tweet Id,Text,Username,preprocessed_data
0,0,2021-07-20 15:26:17+00:00,1417506150942117895,@bbcmundo DEMOCRACIA Y LIBERTAD. ESE PARO NACIONAL NO NOS REPRESENTA !!! PARO ASESINO HECHO POR COMUNISTAS SOCIALISTAS GUERRILLEROS FINANCIADO POR VENEZUELA Y CUBA NO NOS REPRESENTA. NO DESINFORMEN!!! #ParoAsesino #ParoMataBebes #NoMasParo,xirajaramillo,"['democracia', 'libertad', 'paro', 'nacional', 'representar', 'paro', 'asesino', 'hecho', 'comunista', 'socialista', 'guerrillero', 'financiado', 'venezuelo', 'cubo', 'representar', 'desinformen', 'paroasesino', 'paromatabebe', 'nomasparo']"
1,1,2021-06-20 21:21:12+00:00,1406723832895913984,Me gusta esto. #ParoAsesino #paromatabebes #apoyoamifuerzapublica  #DuqueRenuncieYa https://t.co/bGJ3XGCBj5,xirajaramillo,"['gustar', 'paroasesino', 'paromatabebe', 'apoyoamifuerzapuboico', 'duquerenunceyer']"
2,2,2021-06-11 17:18:21+00:00,1403401228604817408,"@elsemblante Si apoyara el #ParoAsesino sería su mejor amigo. Pues no… así inunden las redes sociales una minoría de desocupados, el #ParoGenocida #ParoMataBebes no nos representa. https://t.co/wWP6skMYNw",xirajaramillo,"['si', 'apoyar', 'paroasesino', 'serio', 'mejor', 'amigo', 'pues', 'no', '...', 'asi', 'inundar', 'red', 'social', 'minoria', 'desocupado', 'parogenocido', 'paromatabebe', 'representar']"
3,3,2021-06-10 19:43:40+00:00,1403075412620713984,"@carloswi728 @MiChulaChulita @fecode @AlvaroUribeVel @CeDemocratico #ParoGenocida #ParoAsesino #ParoMataBebes  ya no es s🆘nos están matando , es 🆘 nos están tumbando 🤣🤣🤣 https://t.co/dFbibAZEsP",xirajaramillo,"['parogenocido', 'paroasesino', 'paromatabebe', 'sno', 'estar', 'matar', 'estar', 'tumbar']"
4,4,2021-06-09 19:50:17+00:00,1402714687347826694,Pobres angelitos del #paromatabebes #ParoAsesino usando sus armas para sembrar paz. https://t.co/lZVM8kjcwm,xirajaramillo,"['pobre', 'angelito', 'paromatar', 'paroasesino', 'usar', 'arma', 'sembrar', 'paz']"
5,5,2021-06-09 19:47:32+00:00,1402713997032448000,#ParoAsesino #paromatabebes @CIDH @PoliciaColombia #Vandalismo https://t.co/gXLrwtZBV7,xirajaramillo,"['paroasesino', 'paromatar', 'vandalismo']"
6,6,2021-06-09 01:59:51+00:00,1402445304436342784,#ParoAsesino  #ParoAsesino #paromatabebes #ParoAsesino  #ParoAsesino #paromatabebes #ParoAsesino  #ParoAsesino #paromatabebes https://t.co/OZbjpszVjn,xirajaramillo,"['paroasesino', 'paroasesino', 'paromatabebe', 'paroasesino', 'paroasesino', 'paromatabebe', 'paroasesino', 'paroasesino', 'paromatabebe']"
7,7,2021-06-09 01:49:57+00:00,1402442813405605892,De sangre de los apátridas del #paroasesino #paromatabebes #LaPelotaEstaManchada.       Palo para estos Mamertos yaaaaaa 🤣. Resentidos inmundos https://t.co/RArI1qO8f3,xirajaramillo,"['sangre', 'apatrido', 'paroasesino', 'paromatabebe', 'lapelotaestamanchada', 'palo', 'mamerto', 'yaa', 'resentido', 'inmundo']"
8,8,2021-06-08 16:44:10+00:00,1402305464239546376,#ParoAsesino #VandalosAsesinos #ParoMataBebes #ParoDeLaMuerte https://t.co/PhsAb8Nw8K,Adrgpz1,"['paroasesino', 'vandalosasesino', 'paromatabebe', 'parodelamuerte']"
9,9,2021-06-01 16:53:15+00:00,1399771034627317762,"@CwastProison Señora, sus marchas no son pacíficas, son una manada de ASESINOS que salen a destruir un país y ni si quiera saben por que. Los está financiando la guerrilla que siempre odiaron a nuestros policías y ese cuento a otro lado. Ya nadie les creee. #ParoAsesino #paromatabebes https://t.co/kb7c1KJnsn",xirajaramillo,"['senora', 'marcha', 'pacifico', 'manada', 'asesino', 'salir', 'destruir', 'pais', 'si', 'querer', 'saber', 'financiar', 'guerrilla', 'siempre', 'odiar', 'policia', 'contar', 'lado', 'nadie', 'creer', 'paroasesino', 'paromatabebe']"
