,created_at,id_str,conversation_id_str,full_text,lang,favorited,retweeted,retweet_count,favorite_count,reply_count,quote_count,quoted_status_id_str,quoted_status_short_url,quoted_status_expand_url,user_id_str,user_name,user_full_name,user_verified,in_reply_to_status_id_str,in_reply_to_user_id_str,hashtags,mentions,urls,media,preprocessed_created_at,preprocessed_data,emoji_list,emoticon_list
0,2021-05-02T23:55:36+00:00,1389005686005067778,1389005686005067778,que horror #ColombiaEnAlertaRoja,es,False,False,0,3,0,0,1.3887039921385677e+18,,,170534070,MakingMoviesHQ,Making Movies,False,,,#ColombiaEnAlertaRoja,,,[],2021-05-02,"['que', 'horror', 'colombiaenalertaroja']",[],[]
1,2021-05-02T23:39:10+00:00,1389001548013899779,1389001548013899779,"#CaliResiste DIFUNDIR ‼️
#ColombiaEnAlertaRoja",en,False,False,0,0,0,0,1.3889982661011128e+18,,,1291458074214125574,Hope_Col,Jung🇨🇴,False,,,"#CaliResiste , #ColombiaEnAlertaRoja",,,[],2021-05-02,"['caliresiste', 'difundir', 'colombiaenalertaroja']",['️'],[]
2,2021-05-02T23:38:17+00:00,1389001327133474817,1389001327133474817,DIFUNDIR ‼️#ColombiaEnAlertaRoja #ParoEstudiantil3M #Paro2M,en,False,False,1,1,0,0,1.3889988843835023e+18,,,1291458074214125574,Hope_Col,Jung🇨🇴,False,,,"#ColombiaEnAlertaRoja , #ParoEstudiantil3M , #Paro2M",,,[],2021-05-02,"['difundir', 'colombiaenalertaroja', 'paroestudiantil', 'paro']",['️'],[]
3,2021-05-02T23:35:40+00:00,1389000667143053313,1389000667143053313,"DIFUNDIR ‼️

#ColombiaEnAlertaRoja
#NoALaReformaALaSalud
#ElParoNOPara
#ParoNacional2M
#ElParoContinua2M",en,False,False,25,20,0,0,1.3889988843835023e+18,,,1297925227003904000,juventudpazcol,Juventud Paz.,False,,,"#ColombiaEnAlertaRoja , #NoALaReformaALaSalud , #ElParoNOPara , #ParoNacional2M , #ElParoContinua2M",,,[],2021-05-02,"['difundir', 'colombiaenalertaroja', 'noalareformaalasalud', 'elparonopara', 'paronacional', 'elparocontinua']",['️'],[]
4,2021-05-02T23:28:33+00:00,1388998877219540994,1388998877219540994,"Today on the streets of New York we told the world that after 4 days of protests the Colombian State left 21 murdered, 4 victims of sexual violence and 672 arbitrary arrests (According to @TembloresOng).  #ColombiaEnAlertaRoja #ColombianLivesMatter #SOSColombia",en,False,False,2,7,0,0,1.3889969807985377e+18,,,104176979,WailiTatiana,Waili T. Gamboa-Martínez 🌟,False,,,"#ColombiaEnAlertaRoja , #ColombianLivesMatter , #SOSColombia",TembloresOng,,[],2021-05-02,"['today', 'street', 'new', 'york', 'told', 'world', 'day', 'protest', 'colombian', 'state', 'left', 'murder', 'victim', 'sexual', 'violence', 'arbitrary', 'arrest', 'accord', 'colombiaenalertaroja', 'colombianlivesmatter', 'soscolombia']",[],[]
5,2021-05-02T23:21:53+00:00,1388997200752128004,1388997200752128004,"Civilians are being killed in Colombia #SOSColombia

The right to peaceful protest and assembly are non-negotiable human rights.

We stand in solidarity with the people of Colombia. 

#ParoNacional2Mayo 
#ColombiaEnAlertaRoja 
#HumanRights 
#ColombiaSeRespeta https://t.co/hvwB4G0sJh",en,False,False,2,6,0,0,,,,1289676860993888257,DibHadra,Dib Hadra 🌐,False,,,"#SOSColombia , #ParoNacional2Mayo , #ColombiaEnAlertaRoja , #HumanRights , #ColombiaSeRespeta",,,"[{""url"": ""https://pbs.twimg.com/media/E0a053TXMAQe69G.jpg"", ""type"": ""photo""}, {""url"": ""https://pbs.twimg.com/media/E0a064qXMAMKcLh.jpg"", ""type"": ""photo""}]",2021-05-02,"['civilian', 'kill', 'colombia', 'soscolombia', 'right', 'peaceful', 'protest', 'assembly', 'nonnegotiable', 'human', 'right', 'stand', 'solidarity', 'people', 'colombia', 'paronacional', 'mayo', 'colombiaenalertaroja', 'humanrights', 'colombiaserespeta']",[],[]
6,2021-05-02T23:12:54+00:00,1388994940194234369,1388994940194234369,"Difundir 🇨🇴👋
#ColombiaEnAlertaRoja
#NoALaReformaALaSalud
#ElParoNOPara
#ParoNacional2M
#ElParoContinua2M",en,False,False,2,2,0,0,,,,1023169544,kyra00shy,Kyra98,False,,,"#ColombiaEnAlertaRoja , #NoALaReformaALaSalud , #ElParoNOPara , #ParoNacional2M , #ElParoContinua2M",,,[],2021-05-02,"['difundir', 'colombiaenalertaroja', 'noalareformaalasalud', 'elparonopara', 'paronacional', 'elparocontinua']",['🇨🇴👋'],[]
7,2021-05-02T22:47:56+00:00,1388988655121928193,1388988655121928193,thor ragnarok is fun but protesting for a better country without police brutality is even more fun #ColombiaEnAlertaRoja #ColombiaEnDictadura #ColombiaSeRespeta #SOSColombia #ParoNacional2M,en,False,False,0,0,0,0,,,,2941774491,parcericucha,˗`ˏ mariana ˎˊ˗,False,,,"#ColombiaEnAlertaRoja , #ColombiaEnDictadura , #ColombiaSeRespeta , #SOSColombia , #ParoNacional2M",,,[],2021-05-02,"['thor', 'ragnarok', 'fun', 'protest', 'well', 'country', 'without', 'police', 'brutality', 'even', 'fun', 'colombiaenalertaroja', 'colombiaendictadura', 'colombiaserespeta', 'soscolombia', 'paronacional']",[],[]
8,2021-05-02T22:46:31+00:00,1388988299805696000,1388988299805696000,"⚠️🚨 DIFUNDIR ⚠️🚨

 #ColombiaEnAlertaRoja
#NoALaReformaALaSalud
#ElParoNOPara
#ParoNacional2M
#ElParoContinua29A",en,False,False,10,11,0,0,1.3889844339491717e+18,,,1176195547759304704,NiallHColombia2,Niall Horan Colombia,False,,,"#ColombiaEnAlertaRoja , #NoALaReformaALaSalud , #ElParoNOPara , #ParoNacional2M , #ElParoContinua29A",,,[],2021-05-02,"['difundir', 'colombiaenalertaroja', 'noalareformaalasalud', 'elparonopara', 'paronacional', 'elparocontinua']",['⚠️🚨'],[]
9,2021-05-02T22:46:03+00:00,1388988182616760321,1388988182616760321,yeah I also love the mcu but have you heard about what's happening in colombia? #SOSColombiaDDHH #SOSColombia #ColombiaEnAlertaRoja #ColombiaSeRespeta #ParoNacional2M,en,False,False,0,1,0,0,,,,2941774491,parcericucha,˗`ˏ mariana ˎˊ˗,False,,,"#SOSColombiaDDHH , #SOSColombia , #ColombiaEnAlertaRoja , #ColombiaSeRespeta , #ParoNacional2M",,,[],2021-05-02,"['yeah', 'also', 'love', 'mcu', 'heard', 'what is', 'happen', 'colombia', 'soscolombiaddhh', 'soscolombia', 'colombiaenalertaroja', 'colombiaserespeta', 'paronacional']",[],[]
10,2021-05-02T22:44:50+00:00,1388987874842927105,1388987874842927105,Martuchis siendo Martuchis #NoMasUribismo #ColombiaEnAlertaRoja,es,False,False,0,0,0,0,1.388696214531629e+18,,,12602902,AnitalapalatinA,AnA,False,,,"#NoMasUribismo , #ColombiaEnAlertaRoja",,,[],2021-05-02,"['martuchis', 'siendo', 'martuchis', 'nomasuribismo', 'colombiaenalertaroja']",[],[]
11,2021-05-02T22:36:37+00:00,1388985807940239362,1388985807940239362,"DIFUNDIR ‼️

#ColombiaEnAlertaRoja
#NoALaReformaALaSalud
#ElParoNOPara
#ParoNacional2M
#ElParoContinua2M",en,False,False,2,0,0,0,1.3889844339491717e+18,,,859168526313156608,wositomijo,L a u | 🇨🇴,False,,,"#ColombiaEnAlertaRoja , #NoALaReformaALaSalud , #ElParoNOPara , #ParoNacional2M , #ElParoContinua2M",,,[],2021-05-02,"['difundir', 'colombiaenalertaroja', 'noalareformaalasalud', 'elparonopara', 'paronacional', 'elparocontinua']",['️'],[]
12,2021-05-02T22:32:00+00:00,1388984646030004237,1388984646030004237,"DIFUNDIR ‼️

#ColombiaEnAlertaRoja
#NoALaReformaALaSalud
#ElParoNOPara
#ParoNacional2M
#ElParoContinua2M",en,False,False,46,21,0,2,1.3889844339491717e+18,,,1297925227003904000,juventudpazcol,Juventud Paz.,False,,,"#ColombiaEnAlertaRoja , #NoALaReformaALaSalud , #ElParoNOPara , #ParoNacional2M , #ElParoContinua2M",,,[],2021-05-02,"['difundir', 'colombiaenalertaroja', 'noalareformaalasalud', 'elparonopara', 'paronacional', 'elparocontinua']",['️'],[]
13,2021-05-02T22:08:14+00:00,1388978666172993540,1388978666172993540,"DIFUNDIR ‼️

#ColombiaEnAlertaRoja
#NoALaReformaALaSalud
#ElParoNOPara
#ParoNacional2M
#ElParoContinua2M",en,False,False,1,1,0,0,1.3889679129087304e+18,,,922643347545698304,HS3CYRUS,val,False,,,"#ColombiaEnAlertaRoja , #NoALaReformaALaSalud , #ElParoNOPara , #ParoNacional2M , #ElParoContinua2M",,,[],2021-05-02,"['difundir', 'colombiaenalertaroja', 'noalareformaalasalud', 'elparonopara', 'paronacional', 'elparocontinua']",['️'],[]
14,2021-05-02T22:08:00+00:00,1388978607473807364,1388978607473807364,"DIFUNDIR ‼️

#ColombiaEnAlertaRoja
#NoALaReformaALaSalud
#ElParoNOPara
#ParoNacional2M
#ElParoContinua2M",en,False,False,34,20,0,0,1.3889679129087304e+18,,,1297925227003904000,juventudpazcol,Juventud Paz.,False,,,"#ColombiaEnAlertaRoja , #NoALaReformaALaSalud , #ElParoNOPara , #ParoNacional2M , #ElParoContinua2M",,,[],2021-05-02,"['difundir', 'colombiaenalertaroja', 'noalareformaalasalud', 'elparonopara', 'paronacional', 'elparocontinua']",['️'],[]
15,2021-05-02T22:05:23+00:00,1388977947176996868,1388977947176996868,"Almost 40 students have been killed and military forces were displayed this week, you tasted European lifestyle and forgot about your country @shakira @juanes please don’t ever milk us again in your tours! #2Mayo #ColombiaEnAlertaRoja #SOSColombiaDDHH #SOSColombia",en,False,False,0,0,0,0,1.3889769182387446e+18,,,1021503091940700161,CLERMONTTWINKS,ƆＣ,False,,,"#2Mayo , #ColombiaEnAlertaRoja , #SOSColombiaDDHH , #SOSColombia","shakira , juanes",,[],2021-05-02,"['almost', 'student', 'kill', 'military', 'force', 'displayed', 'week', 'taste', 'european', 'lifestyle', 'forgot', 'country', 'please', 'do not', 'ever', 'milk', 'u', 'tour', 'mayo', 'colombiaenalertaroja', 'soscolombiaddhh', 'soscolombia']",[],[]
16,2021-05-02T21:43:03+00:00,1388972326918582274,1388972326918582274,"Dont teach us to be proud Colombians if you are going to strip away everything we are proud of. don't be surprised when Colombians fight back! Colombians want and will protect the country we/they love 🇨🇴
#ColombiaEnAlertaRoja",en,False,False,0,6,0,0,,,,1082154514914828288,ArtofLilibeth,Skyneverthelimit,False,,,#ColombiaEnAlertaRoja,,,[],2021-05-02,"['do not', 'teach', 'u', 'proud', 'colombian', 'go', 'strip', 'away', 'everything', 'proud', 'do not', 'surprised', 'colombian', 'fight', 'back', 'colombian', 'want', 'protect', 'country', 'wethey', 'love', 'colombiaenalertaroja']",['🇨🇴'],[]
17,2021-05-02T21:32:41+00:00,1388969718208417793,1388969718208417793,"What’s the best evidence to proof that media concerns about Venezuela are Bullshit?

the Colombian government is slaughtering its people and there’s no scandal in the global media. They don’t care about human rights. 

#ColombiaEnDictadura #ColombiaEnAlertaRoja",en,False,False,0,1,1,0,,,,184309696,AppsCrafter,Pacu,False,,,"#ColombiaEnDictadura , #ColombiaEnAlertaRoja",,,[],2021-05-02,"['what is', 'best', 'evidence', 'proof', 'medium', 'concern', 'venezuela', 'bullshit', 'colombian', 'government', 'slaughter', 'people', 'there is', 'scandal', 'global', 'medium', 'do not', 'care', 'human', 'right', 'colombiaendictadura', 'colombiaenalertaroja']",[],[]
