created_at,id_str,conversation_id_str,full_text,lang,favorited,retweeted,retweet_count,favorite_count,reply_count,quote_count,quoted_status_id_str,quoted_status_short_url,quoted_status_expand_url,user_id_str,user_name,user_full_name,user_verified,in_reply_to_status_id_str,in_reply_to_user_id_str,hashtags,mentions,urls,media,preprocessed_created_at,preprocessed_data,emoji_list,emoticons_list
2021-03-28T14:36:25+00:00,1.38E+18,1.37E+18,['hi'],,,,,,,,,,,,,,,,,,,,,28-03-2021,['hi'],[''],[]
2021-03-23T20:07:46+00:00,1.37E+18,1.37E+18,"['the', 'era', 'could', 'well', 'be', 'so', 'an', 'amendment', 'to', 'the', 'to', 'replace', 'old', 'one', 'in', 'graphic', 'form', 'as', 'new', 'pinned', 'tweet', 'next', 'monday']",,,,,,,,,,,,,,,,,,,,,23-03-2021,"['era', 'could', 'well', 'amend', 'replac', 'old', 'one', 'graphic', 'form', 'new', 'pin', 'tweet', 'next', 'monday']",[''],[]
2021-04-10T03:54:30+00:00,1.38E+18,1.38E+18,"['tres', 'canciones', 'antes', 'del']",,,,,,,,,,,,,,,,,,,,,10-04-2021,"['tre', 'cancion', 'ant', 'del']",[''],[]
2021-04-25T00:41:52+00:00,1.39E+18,1.39E+18,"['any', 'op', 'for']",en,FALSE,FALSE,0,0,0,0,,,,1348134272,dunkel_little,.,FALSE,1.39E+18,1.37E+18,#28A,"EterSec , AnonNovidades , YourAnonNewsBR , AnonymousFUEL",,[],25-04-2021,['op'],[''],[]
2021-04-24T15:48:37+00:00,1.39E+18,1.39E+18,"['el', 'a', 'las', 'calles', 'hps']",es,FALSE,FALSE,0,0,0,0,,,,1976013108,JOALVARA,BOGOTABOY,FALSE,1.39E+18,1.24E+18,#28A,rechismes,,[],24-04-2021,"['el', 'la', 'call', 'hp']",[''],[]
2021-04-24T11:47:30+00:00,1.39E+18,1.39E+18,"['first', 'amendment', 'rights', 'well', 'secured', 'for', 'the', 'post']",,,,,,,,,,,,,,,,,,,,,24-04-2021,"['first', 'amend', 'right', 'well', 'secur', 'post']",[''],[]
2021-04-23T12:44:08+00:00,1.39E+18,1.39E+18,"['a', 'las', 'calles']",es,FALSE,FALSE,2,10,0,0,1.39E+18,,,157229904,Lulufrl,Lulú,FALSE,,,#28A,,,[],23-04-2021,"['la', 'call']",[''],[]
2021-04-23T09:16:20+00:00,1.39E+18,1.39E+18,"['severe', 'weather', 'bulletin']",,,,,,,,,,,,,,,,,,,,,23-04-2021,"['sever', 'weather', 'bulletin']",[''],[]
2021-04-23T09:15:35+00:00,1.39E+18,1.39E+18,"['severe', 'weather', 'bulletin']",,,,,,,,,,,,,,,,,,,,,23-04-2021,"['sever', 'weather', 'bulletin']",[''],[]
2021-05-02T05:46:42+00:00,1.39E+18,1.39E+18,"['5th', 'day', 'of', 'nationwide', 'protest', 'amp', 'this', 'us', 'your', 'take', '5m', 'on', 'the', 'streets', 'only', 'on', 'in', '600', 'cities', '14', 'dead', 'in', 'cali', 'in', '1night', 'this', 'article', 'is', 'just', 'as', 'bad', 'as', 'some', 'of', 'the', 'state', 'controlled', 'press', 'in', 'colombia', 'a', 'gaslightling', 'exercise', 'that', 'undermine']",en,FALSE,FALSE,0,10,1,0,,,,22478675,sprivera,Susana Rivera,FALSE,1.39E+18,87818409,#28A,guardian,,[],02-05-2021,"['5th', 'day', 'nationwid', 'protest', 'amp', 'us', 'take', '5m', 'street', 'citi', 'dead', 'cali', '1night', 'articl', 'bad', 'state', 'control', 'press', 'colombia', 'gaslightl', 'exercis', 'undermin']",[''],[]
2021-05-01T18:38:16+00:00,1.39E+18,1.39E+18,"['2021', 'bowman', 'jumbo', 'half', 'case', '1', '1', 'progressive', 'jackpot', '1300', '5', '1', '21']",en,FALSE,FALSE,0,0,0,0,,,,1.04E+18,RealBreaksLive,Real Breaks,FALSE,,,#28a,,https://t.co/7Dn5Le3wKN,[],01-05-2021,"['bowman', 'jumbo', 'half', 'case', 'progress', 'jackpot']",[''],[]
2021-05-01T13:42:31+00:00,1.39E+18,1.39E+18,"['in', 'the', 'remainder', 'of', 'democracy', 'is', 'being', 'destroyed', 'protesters', 'are', 'being', 'killed']",,,,,,,,,,,,,,,,,,,,,01-05-2021,"['remaind', 'democraci', 'destroy', 'protest', 'kill']",[''],[]
