,created_at,id_str,conversation_id_str,full_text,lang,favorited,retweeted,retweet_count,favorite_count,reply_count,quote_count,quoted_status_id_str,quoted_status_short_url,quoted_status_expand_url,user_id_str,user_name,user_full_name,user_verified,in_reply_to_status_id_str,in_reply_to_user_id_str,hashtags,mentions,urls,media,emoji_list,emoticons_list,preprocessed_created_at,preprocessed_data
0,2021-04-10T02:39:59+00:00,1380712131486740483,1380699403351113729,@JulianJaraUribe #NoReelijasLaRataQueMata el @CeDemocratico en cabeza del #Matarife y #ElCaribajito son una recua de hijueputas. #El28DeAbrilTodxsALasCalles #APararParaAvanzar #VivaElParoNacional https://t.co/8fLlwnXl1U,es,False,False,1,0,0,0,,,,1295008841923547136,alejobaca,alejobacca,False,1.3806994033511137e+18,701710981.0,"#NoReelijasLaRataQueMata , #Matarife , #ElCaribajito , #El28DeAbrilTodxsALasCalles , #APararParaAvanzar , #VivaElParoNacional","JulianJaraUribe , CeDemocratico",,"[{""url"": ""https://pbs.twimg.com/media/EylGXIdWgAAjlWF.jpg"", ""type"": ""photo""}, {""url"": ""https://pbs.twimg.com/media/EylGXZdW8AM2NlW.jpg"", ""type"": ""photo""}]",[''],"['8D', ':/']",2021-04-10,"['noreelijaslarataquemat', 'cabez', 'matarif', 'elcaribajit', 'recu', 'hijueput', 'deabriltodxsalascall', 'apararparaavanz', 'vivaelparonacional']"
1,2021-04-06T15:34:39+00:00,1379457531890786308,1379457531890786308,"aunque ud no lo crea a ud también le afecta lo que esta pasando, #Yosalgoalacalle #Vivaelparonacional",es,False,False,0,0,0,0,1.3791056859008287e+18,,,66484833,miguellunacine,Miguel Luna,False,,,"#Yosalgoalacalle , #Vivaelparonacional",,,[],[''],[],2021-04-06,"['aunqu', 'ud', 'cre', 'ud', 'tambi', 'afect', 'pas', 'yosalgoalacall', 'vivaelparonacional']"
2,2021-04-10T02:39:59+00:00,1380712131486740483,1380699403351113729,@JulianJaraUribe #NoReelijasLaRataQueMata el @CeDemocratico en cabeza del #Matarife y #ElCaribajito son una recua de hijueputas. #El28DeAbrilTodxsALasCalles #APararParaAvanzar #VivaElParoNacional https://t.co/8fLlwnXl1U,es,False,False,1,0,0,0,,,,1295008841923547136,alejobaca,alejobacca,False,1.3806994033511137e+18,701710981.0,"#NoReelijasLaRataQueMata , #Matarife , #ElCaribajito , #El28DeAbrilTodxsALasCalles , #APararParaAvanzar , #VivaElParoNacional","JulianJaraUribe , CeDemocratico",,"[{""url"": ""https://pbs.twimg.com/media/EylGXIdWgAAjlWF.jpg"", ""type"": ""photo""}, {""url"": ""https://pbs.twimg.com/media/EylGXZdW8AM2NlW.jpg"", ""type"": ""photo""}]",[''],"['8D', ':/']",2021-04-10,"['noreelijaslarataquemat', 'cabez', 'matarif', 'elcaribajit', 'recu', 'hijueput', 'deabriltodxsalascall', 'apararparaavanz', 'vivaelparonacional']"
3,2021-04-06T15:34:39+00:00,1379457531890786308,1379457531890786308,"aunque ud no lo crea a ud también le afecta lo que esta pasando, #Yosalgoalacalle #Vivaelparonacional",es,False,False,0,0,0,0,1.3791056859008287e+18,,,66484833,miguellunacine,Miguel Luna,False,,,"#Yosalgoalacalle , #Vivaelparonacional",,,[],[''],[],2021-04-06,"['aunqu', 'ud', 'cre', 'ud', 'tambi', 'afect', 'pas', 'yosalgoalacall', 'vivaelparonacional']"
4,2021-04-18T16:15:18+00:00,1383816416642535430,1383816416642535430,"Los que proponen y aprueban la Reforma Tributaria, son los mismos congresista que se ganan $35 mill más nómina propia, oficina, celular, camioneta, escoltas, 4 meses de vacaciones, todos con recursos públicos. Y nos dicen que la plata no alcanza. #VivaelParoNacional. https://t.co/iYBEnQoNwb",es,False,False,16,21,1,0,,,,939086580,IjGuarin,Iván Jairt Guarin M,False,,,#VivaelParoNacional,,,"[{""url"": ""https://pbs.twimg.com/media/EzRMnLaVEAgRuha.png"", ""type"": ""photo""}, {""url"": ""https://pbs.twimg.com/media/EzRNTEmVoAUZbPc.jpg"", ""type"": ""photo""}, {""url"": ""https://pbs.twimg.com/media/EzRNYbYUUA4TgwG.jpg"", ""type"": ""photo""}, {""url"": ""https://pbs.twimg.com/media/EzRNdttVkAYoLzg.png"", ""type"": ""photo""}]",[''],[':/'],2021-04-18,"['propon', 'aprueb', 'reform', 'tributari', 'mism', 'congres', 'gan', 'mill', 'mas', 'nomin', 'propi', 'oficin', 'celul', 'camionet', 'escolt', 'mes', 'vacacion', 'recurs', 'public', 'dic', 'plat', 'alcanz', 'vivaelparonacional']"
5,2021-04-18T06:16:20+00:00,1383665680231264258,1383665680231264258,#vivaelparonacional #ParoNacional28A #ParoNacionalYa y con los tapabocas cómo dijo Terminator Hasta la vista Baby,es,False,False,0,0,1,0,1.3834374137211494e+18,,,907670222647197696,IngridL72835641,Ingrid Liliana,False,,,"#vivaelparonacional , #ParoNacional28A , #ParoNacionalYa",,,[],[''],[],2021-04-18,"['vivaelparonacional', 'paronacional', 'paronacionaly', 'tapaboc', 'dij', 'terminator', 'vist', 'baby']"
6,2021-04-17T17:35:31+00:00,1383474215047766023,1383474215047766023,"No sé si sea apresurado pero 
#vivaelparonacional
#28A",es,False,False,0,0,0,0,,,,185492152,Tatiana9108,Una 😼 Revolucionaria,False,,,"#vivaelparonacional , #28A",,,[],[''],[],2021-04-17,"['si', 'apresur', 'vivaelparonacional']"
7,2021-04-16T22:47:23+00:00,1383190312865181698,1383190312865181698,"Así es compa, debemos tomarnos la casa de Nariño y derrocar a este gobierno ilegítimo
#resistencia
#vivaelparonacional
💪💪💪",es,False,False,0,1,1,0,1.3831820847228518e+18,,,1204208197369769990,Patriot20208,Patricia Ortega Trujillo,False,,,"#resistencia , #vivaelparonacional",,,[],['💪💪💪'],[],2021-04-16,"['asi', 'comp', 'deb', 'tom', 'cas', 'narin', 'derroc', 'gobiern', 'ilegitim', 'resistent', 'vivaelparonacional']"
8,2021-04-16T19:06:56+00:00,1383134834248269828,1383134834248269828,"#LaReformaEs volver más pobre al pueblo...
El IVA es un impuesto inhumano, perverso, indolente... Desgraciados.
#VivaElParoNacional
@IvanDuque
@infopresidencia @CeDemocratico @MinHacienda https://t.co/bgMp0Ulv33",es,False,False,1,0,0,0,,,,3012957695,SLdeGaceno,#PobrePaís,False,,,"#LaReformaEs , #VivaElParoNacional","IvanDuque , infopresidencia , CeDemocratico , MinHacienda",,"[{""url"": ""https://pbs.twimg.com/media/EzHhzVlWYAEZ-db.jpg"", ""type"": ""photo""}]",[''],[':/'],2021-04-16,"['lareform', 'volv', 'mas', 'pobr', 'puebl', 'iva', 'impuest', 'inhuman', 'pervers', 'indolent', 'desgraci', 'vivaelparonacional']"
9,2021-04-10T02:39:59+00:00,1380712131486740483,1380699403351113729,@JulianJaraUribe #NoReelijasLaRataQueMata el @CeDemocratico en cabeza del #Matarife y #ElCaribajito son una recua de hijueputas. #El28DeAbrilTodxsALasCalles #APararParaAvanzar #VivaElParoNacional https://t.co/8fLlwnXl1U,es,False,False,1,0,0,0,,,,1295008841923547136,alejobaca,alejobacca,False,1.3806994033511137e+18,701710981.0,"#NoReelijasLaRataQueMata , #Matarife , #ElCaribajito , #El28DeAbrilTodxsALasCalles , #APararParaAvanzar , #VivaElParoNacional","JulianJaraUribe , CeDemocratico",,"[{""url"": ""https://pbs.twimg.com/media/EylGXIdWgAAjlWF.jpg"", ""type"": ""photo""}, {""url"": ""https://pbs.twimg.com/media/EylGXZdW8AM2NlW.jpg"", ""type"": ""photo""}]",[''],"['8D', ':/']",2021-04-10,"['noreelijaslarataquemat', 'cabez', 'matarif', 'elcaribajit', 'recu', 'hijueput', 'deabriltodxsalascall', 'apararparaavanz', 'vivaelparonacional']"
