created_at,id_str,conversation_id_str,full_text,lang,favorited,retweeted,retweet_count,favorite_count,reply_count,quote_count,quoted_status_id_str,quoted_status_short_url,quoted_status_expand_url,user_id_str,user_name,user_full_name,user_verified,in_reply_to_status_id_str,in_reply_to_user_id_str,hashtags,mentions,urls,media,preprocessed_created_at,preprocessed_data,emoji_list,emoticons_list
2021-05-02T23:19:49+00:00,1.39E+18,1.39E+18,"['p', 'o', 's', 't', 'a', 'l', 'e', 's']",,,,,,,,,,,,,,,,,,,,,02-05-2021,"['p', 'l', 'e']",[''],[]
2021-05-02T22:57:57+00:00,1.39E+18,1.39E+18,"['5', '57pm', 'lleguen']",es,FALSE,FALSE,0,2,1,0,,,,1.25E+18,Romerode_Andrey,Romero.de.Andrey,FALSE,,,"#2M , #heroes , #paronacional , #ColombiaEnDictadura , #ColombiaSeRespeta , #ElParoSigue",,,"[{""url"": ""https://pbs.twimg.com/media/E0awG1wXIAMdTe5.jpg"", ""type"": ""photo""}]",02-05-2021,"['57pm', 'lleguen']",[''],[]
2021-05-02T22:32:08+00:00,1.39E+18,1.39E+18,"['the', 'pandemic', 'has', 'exposed', 'the', 'failures', 'of', 'the', 'colombian', 'government', 'police', 'abuse', 'repression', 'and', 'precarious', 'conditions', 'are', 'some', 'of', 'them', 'let', 's', 'make', 'the', 'change', 'we', 'want', 'bearing', 'the', 'abuses', 'of', 'the', 'colombian', 'state']",en,FALSE,FALSE,0,1,0,0,1.39E+18,,,549674430,AlejoUN17,Alejandro Alvarez,FALSE,,,"#ElParoSigue , #GlazersOut","BBCBreaking , dwnews , AFP , FRANCE24 , AlJazeera",,[],02-05-2021,"['pandem', 'expos', 'failur', 'colombian', 'govern', 'polic', 'abus', 'repress', 'precari', 'condit', 'let', 'make', 'chang', 'want', 'bear', 'abus', 'colombian', 'state']",[''],[]
2021-05-02T22:10:31+00:00,1.39E+18,1.39E+18,['imagen'],en,FALSE,FALSE,1,7,0,0,,,,151729728,Almaviaja,??Lepidoptera??,FALSE,,,"#CarrasquillaRenuncie , #ColombiaSeRespeta , #ElParoSigue","jkrincon , lachetaller",,"[{""url"": ""https://pbs.twimg.com/media/E0alQVJX0AEoq5M.jpg"", ""type"": ""photo""}]",02-05-2021,['imagen'],[''],[]
2021-05-02T22:10:08+00:00,1.39E+18,1.39E+18,"['rt', 'difundir']",en,FALSE,FALSE,2,1,0,0,1.39E+18,,,1.29E+18,Hope_Col,Jung????,FALSE,,,"#CarrasquillaRenuncie , #ElParoSigue",,,[],02-05-2021,"['rt', 'difundir']",[''],[]
2021-05-02T20:59:32+00:00,1.39E+18,1.39E+18,['cual'],,,,,,,,,,,,,,,,,,,,,02-05-2021,['cual'],[''],[]
2021-05-02T20:30:01+00:00,1.39E+18,1.39E+18,"['it', 'has', 'english', 'subtitles', 'so', 'it', 'can', 'reach', 'more', 'people', 'and', 'help', 'us']",,,,,,,,,,,,,,,,,,,,,02-05-2021,"['english', 'subtitl', 'reach', 'peopl', 'help', 'us']",[''],[]
2021-05-02T20:28:38+00:00,1.39E+18,1.39E+18,['difundir'],,,,,,,,,,,,,,,,,,,,,02-05-2021,['difundir'],[''],[]
2021-05-02T20:26:44+00:00,1.39E+18,1.39E+18,['difundir'],en,FALSE,FALSE,8,18,0,0,,,,1.24E+18,kwliaa,? isa,FALSE,,,#ElParoSigue,,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1388951353469423623/pu/img/9EKLTz0MCQLMjXC4.jpg"", ""type"": ""photo""}]",02-05-2021,['difundir'],[''],[]
2021-05-02T20:10:25+00:00,1.39E+18,1.39E+18,"['hay', 'muchos', 'pendientes']",es,FALSE,FALSE,0,0,0,0,,,,2539073439,ComentaColombia,Resiste Colombia!,FALSE,1.39E+18,139905693,#ElParoSigue,Rendon017,,"[{""url"": ""https://pbs.twimg.com/media/E0aJxKUWUAEFgd4.jpg"", ""type"": ""photo""}]",02-05-2021,"['hay', 'mucho', 'pendient']",[''],[]
2021-05-02T20:10:19+00:00,1.39E+18,1.39E+18,['q'],,,,,,,,,,,,,,,,,,,,,02-05-2021,['q'],[''],[]
2021-05-02T20:07:50+00:00,1.39E+18,1.39E+18,"['obviamente', 'nooo']",,,,,,,,,,,,,,,,,,,,,02-05-2021,"['obviament', 'nooo']",[''],[]
2021-05-02T19:34:32+00:00,1.39E+18,1.39E+18,['difundir'],,,,,,,,,,,,,,,,,,,,,02-05-2021,['difundir'],[''],[]
2021-05-02T19:05:13+00:00,1.39E+18,1.39E+18,"['cali', 'me', 'inspira', 'memes']",en,FALSE,FALSE,12,72,0,0,,,,274273381,catalepsia10,catalepsiailustra,FALSE,,,"#NoReformaTributaria , #secayolareforma , #elparosigue , #ElParoNOPara",,,"[{""url"": ""https://pbs.twimg.com/media/E0Z61jQWQAIU58m.jpg"", ""type"": ""photo""}]",02-05-2021,"['cali', 'inspira', 'meme']",[''],[]
2021-05-02T18:36:52+00:00,1.39E+18,1.39E+18,[],,,,,,,,,,,,,,,,,,,,,02-05-2021,[],[''],[]
2021-05-02T18:18:39+00:00,1.39E+18,1.39E+18,['retweet'],,,,,,,,,,,,,,,,,,,,,02-05-2021,['retweet'],[''],[]
