,created_at,id_str,conversation_id_str,full_text,lang,favorited,retweeted,retweet_count,favorite_count,reply_count,quote_count,quoted_status_id_str,quoted_status_short_url,quoted_status_expand_url,user_id_str,user_name,user_full_name,user_verified,in_reply_to_status_id_str,in_reply_to_user_id_str,hashtags,mentions,urls,media,preprocessed_created_at,preprocessed_data,emoji_list,emoticon_list
0,2021-05-08T18:53:08+00:00,1391103893258579972,1391103893258579972,#Paro8M #reportoencity Bloqueada Avenida Suba Calle 129 https://t.co/9DetSp05CG,es,False,False,0,1,0,0,,,,888359312703328256,TheBlueGirl80,@MaQuiMD,False,,,"#Paro8M , #reportoencity",,,"[{""url"": ""https://pbs.twimg.com/media/E04xl7jX0AQlV3B.jpg"", ""type"": ""photo""}, {""url"": ""https://pbs.twimg.com/media/E04xnCsWEAgFWpj.jpg"", ""type"": ""photo""}]",2021-05-08,"['paro', 'reportoencity', 'bloqueada', 'avenida', 'suba', 'calle']",[],[]
1,2021-05-07T22:23:05+00:00,1390794343401889794,1390794343401889794,Así avanza la jornada de #ParoNacionalColombia en Bogotá. Colectivos universitarios los protagonistas. #ReportoEnCity @Citytv #CityNoticias https://t.co/OoZoVlAUy1,es,False,False,95,417,29,9,,,,279336385,jnietoblanco,Johnatan Nieto B.,False,,,"#ParoNacionalColombia , #ReportoEnCity , #CityNoticias",Citytv,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1390794091848470531/pu/img/zsNu0Pti_CXyJ3fW.jpg"", ""type"": ""photo""}]",2021-05-07,"['así', 'avanza', 'la', 'jornada', 'de', 'paronacionalcolombia', 'en', 'bogotá', 'colectivos', 'universitarios', 'los', 'protagonistas', 'reportoencity', 'citynoticias']",[],[]
2,2021-05-07T17:57:19+00:00,1390727461596549120,1390727461596549120,"@Citytv #ReportoEnCity #ParoNacionalColombia #ParoNacionalIndefinido @ComiteNalDeParo Hoy se invitan a dialogar, hay que resaltar la labor ordenada de los protestantes (Ver video) que son la mayoria de los ciudadanos colombianos contra las decisiones de actual Gobierno #Colombia",es,False,False,0,1,0,0,1.390002215746683e+18,,,1069361390,ScientificActiv,ActivismoCientifico,False,,41139989.0,"#ReportoEnCity , #ParoNacionalColombia , #ParoNacionalIndefinido , #Colombia","Citytv , ComiteNalDeParo",,[],2021-05-07,"['reportoencity', 'paronacionalcolombia', 'paronacionalindefinido', 'hoy', 'se', 'invitan', 'dialogar', 'hay', 'que', 'resaltar', 'la', 'labor', 'ordenada', 'de', 'los', 'protestantes', 'ver', 'video', 'que', 'son', 'la', 'mayoria', 'de', 'los', 'ciudadanos', 'colombianos', 'contra', 'la', 'decisiones', 'de', 'actual', 'gobierno', 'colombia']",[],[]
3,2021-05-07T16:57:29+00:00,1390712403386585089,1390390610708901891,"@IvanDuque @IvanDuque Que piensa Sr presidente de los desastres que  provoco en Colombia?Después de que su propuesta lectoral, estaba Favor del pueblo, y no quieria reformas tributarias, más IVA, y demás propuestas, de las cuales fueron publicidad engañosa . #ParoNacional7M #reportoencity",es,False,False,0,0,0,0,,,,1204511316951601152,MadeleinGonza12,Madelein Gonzalez,False,1.390390610708902e+18,77653794.0,"#ParoNacional7M , #reportoencity","IvanDuque , IvanDuque",,[],2021-05-07,"['que', 'piensa', 'sr', 'presidente', 'de', 'los', 'desastres', 'que', 'provoco', 'en', 'colombiadespués', 'de', 'que', 'su', 'propuesta', 'lectoral', 'estaba', 'favor', 'del', 'pueblo', 'quieria', 'reformas', 'tributarias', 'más', 'iva', 'demás', 'propuestas', 'de', 'la', 'cuales', 'fueron', 'publicidad', 'engañosa', 'paronacional', 'reportoencity']",[],[]
4,2021-05-06T23:06:32+00:00,1390442886999822339,1390442886999822339,"Estamos al #Aire tomándole el pulso a la ciudad. Acompañamos a los bogotanos en su retorno a casa, en este noveno día de #ParoNacional #CityNoticias @Citytv #ReportoEnCity https://t.co/Aj45IWdKiC",es,False,False,41,266,18,1,,,,279336385,jnietoblanco,Johnatan Nieto B.,False,,,"#Aire , #ParoNacional , #CityNoticias , #ReportoEnCity",Citytv,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1390442771291516929/pu/img/lDqvrQ71Ku4uCiU1.jpg"", ""type"": ""photo""}]",2021-05-06,"['estamos', 'al', 'aire', 'tomándole', 'el', 'pulso', 'la', 'ciudad', 'acompañamos', 'los', 'bogotanos', 'en', 'su', 'retorno', 'casa', 'en', 'este', 'noveno', 'día', 'de', 'paronacional', 'citynoticias', 'reportoencity']",[],[]
5,2021-05-06T18:35:33+00:00,1390374692595376133,1390374692595376133,#reportoencity #ParoNacional6M plantón de carros en la cra 11 con calle 92 bogota https://t.co/OB4PAN90J4,es,False,False,6,10,0,0,,,,3359690710,LAngiecg,Angie castro,False,,,"#reportoencity , #ParoNacional6M",,,"[{""url"": ""https://pbs.twimg.com/media/E0uaZkeXEAA2Dwu.jpg"", ""type"": ""photo""}, {""url"": ""https://pbs.twimg.com/media/E0uaZkcXsAAvfNi.jpg"", ""type"": ""photo""}, {""url"": ""https://pbs.twimg.com/media/E0uaZkeWEAY3uHj.jpg"", ""type"": ""photo""}, {""url"": ""https://pbs.twimg.com/media/E0uaZkeWQAUsNs1.jpg"", ""type"": ""photo""}]",2021-05-06,"['reportoencity', 'paronacional', 'plantón', 'de', 'carros', 'en', 'la', 'cra', 'con', 'calle', 'bogota']",[],[]
6,2021-05-06T10:18:39+00:00,1390249646493208577,1390249646493208577,"@IvanDuque @AlvaroUribeVel  les están respirando en la nuca. @Anonymous_CO @AnonNews_Col 

#reportoencity  #SOSCali #SOSColombiaDDHH #SOSColmbia",es,False,False,0,1,0,0,1.3901925494035046e+18,,,1204511316951601152,MadeleinGonza12,Madelein Gonzalez,False,,77653794.0,"#reportoencity , #SOSCali , #SOSColombiaDDHH , #SOSColmbia","IvanDuque , AlvaroUribeVel , Anonymous_CO , AnonNews_Col",,[],2021-05-06,"['le', 'están', 'respirando', 'en', 'la', 'nuca', 'reportoencity', 'soscali', 'soscolombiaddhh', 'soscolmbia']",[],[]
7,2021-05-06T04:01:56+00:00,1390154839540240386,1390154839540240386,Autopista norte 182 #ParoNacional5M #reportoencity https://t.co/HY2KfXyg7x,es,False,False,2,6,0,0,,,,2924268843,lcgc17,Laura Galindo,False,,,"#ParoNacional5M , #reportoencity",,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1390154798230654979/pu/img/biUNxSN_gzogH2K9.jpg"", ""type"": ""photo""}]",2021-05-06,"['autopista', 'norte', 'paronacional', 'reportoencity']",[],[]
8,2021-05-06T04:01:53+00:00,1390154826546352129,1390154826546352129,Autopista norte 182 #ParoNacional5M #reportoencity #citytv https://t.co/VjEueKtySZ,es,False,False,3,7,0,0,,,,2924268843,lcgc17,Laura Galindo,False,,,"#ParoNacional5M , #reportoencity , #citytv",,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1390154677707235331/pu/img/t9UgrFTVCG9OsLuU.jpg"", ""type"": ""photo""}]",2021-05-06,"['autopista', 'norte', 'paronacional', 'reportoencity', 'citytv']",[],[]
9,2021-05-06T03:34:25+00:00,1390147914190753793,1390147914190753793,Autopista norte 182 10: 25 pm #citytv #Paro5M #reportoencity https://t.co/biA4xaGwW1,es,False,False,10,12,3,0,,,,2924268843,lcgc17,Laura Galindo,False,,,"#citytv , #Paro5M , #reportoencity",,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1390147574984847360/pu/img/nL7yGHLpD55ynz8h.jpg"", ""type"": ""photo""}]",2021-05-06,"['autopista', 'norte', 'pm', 'citytv', 'paro', 'reportoencity']",[],[]
10,2021-05-06T02:23:14+00:00,1390130003787096064,1390130003787096064,"@BallesterosLeo @Citytv alrededor de estación de @TransMilenio #Policarpa a esta hora aún hay desmanes
#reportoencity",es,False,False,0,1,0,0,,,,55405828,annyvena,Anita Velasquez,False,,301785356.0,"#Policarpa , #reportoencity","BallesterosLeo , Citytv , TransMilenio",,[],2021-05-06,"['alrededor', 'de', 'estación', 'de', 'policarpa', 'esta', 'hora', 'aún', 'hay', 'desmanes', 'reportoencity']",[],[]
