created_at,id_str,conversation_id_str,full_text,lang,favorited,retweeted,retweet_count,favorite_count,reply_count,quote_count,quoted_status_id_str,quoted_status_short_url,quoted_status_expand_url,user_id_str,user_name,user_full_name,user_verified,in_reply_to_status_id_str,in_reply_to_user_id_str,hashtags,mentions,urls,media,preprocessed_created_at,preprocessed_data,emoji_list,emoticons_list
2021-05-09T23:30:25+00:00,1.39E+18,1.39E+18,"['this', 'looks', 'rather', 'intense', 'and', 'concerning']",,,,,,,,,,,,,,,,,,,,,09-05-2021,"['look', 'rather', 'intens', 'concern']",[''],[]
2021-05-09T23:25:32+00:00,1.39E+18,1.39E+18,['difundir'],,,,,,,,,,,,,,,,,,,,,09-05-2021,['difundir'],[''],[]
2021-05-09T23:23:18+00:00,1.39E+18,1.39E+18,['difundir'],,,,,,,,,,,,,,,,,,,,,09-05-2021,['difundir'],[''],[]
2021-05-09T23:22:40+00:00,1.39E+18,1.39E+18,['difundir'],,,,,,,,,,,,,,,,,,,,,09-05-2021,['difundir'],[''],[]
2021-05-09T23:21:26+00:00,1.39E+18,1.39E+18,['difundir'],,,,,,,,,,,,,,,,,,,,,09-05-2021,['difundir'],[''],[]
2021-05-09T23:20:57+00:00,1.39E+18,1.39E+18,"['alvaro', 'uribe', 's', 'links', 'to', 'pablo', 'escobar', 'death', 'squads', 'and', 'organized', 'crime']",,,,,,,,,,,,,,,,,,,,,09-05-2021,"['alvaro', 'urib', 'link', 'pablo', 'escobar', 'death', 'squad', 'organ', 'crime']",[''],[]
2021-05-09T23:20:46+00:00,1.39E+18,1.39E+18,"['alvaro', 'uribe', 's', 'links', 'to', 'pablo', 'escobar', 'death', 'squads', 'and', 'organized', 'crime']",,,,,,,,,,,,,,,,,,,,,09-05-2021,"['alvaro', 'urib', 'link', 'pablo', 'escobar', 'death', 'squad', 'organ', 'crime']",[''],[]
2021-05-09T23:20:40+00:00,1.39E+18,1.39E+18,"['alvaro', 'uribe', 's', 'links', 'to', 'pablo', 'escobar', 'death', 'squads', 'and', 'organized', 'crime']",,,,,,,,,,,,,,,,,,,,,09-05-2021,"['alvaro', 'urib', 'link', 'pablo', 'escobar', 'death', 'squad', 'organ', 'crime']",[''],[]
2021-05-09T23:19:01+00:00,1.39E+18,1.39E+18,['difundir'],,,,,,,,,,,,,,,,,,,,,09-05-2021,['difundir'],[''],[]
2021-05-09T23:18:51+00:00,1.39E+18,1.39E+18,[],,,,,,,,,,,,,,,,,,,,,09-05-2021,[],[''],[]
2021-05-09T23:18:49+00:00,1.39E+18,1.39E+18,['difundir'],,,,,,,,,,,,,,,,,,,,,09-05-2021,['difundir'],[''],[]
2021-05-09T23:18:23+00:00,1.39E+18,1.39E+18,['difundir'],,,,,,,,,,,,,,,,,,,,,09-05-2021,['difundir'],[''],[]
2021-05-09T23:11:12+00:00,1.39E+18,1.39E+18,"['well', 'this', 'is', 'concerning']",,,,,,,,,,,,,,,,,,,,,09-05-2021,"['well', 'concern']",[''],[]
2021-05-09T23:09:09+00:00,1.39E+18,1.39E+18,"['the', 'fight', 'continues', 'vamos', 'colombia', 'rt', 'for', 'more', 'content']",,,,,,,,,,,,,,,,,,,,,09-05-2021,"['fight', 'continu', 'vamo', 'colombia', 'rt', 'content']",[''],[]
2021-05-09T22:40:57+00:00,1.39E+18,1.39E+18,"['this', 'is', 'what', 'is', 'really', 'happening', 'in', 'please', 'help', 'to', 'spread', 'the', 'word', 'the', 'people', 'of', 'colombia', 'are', 'fighting', 'against', 'and']",en,FALSE,FALSE,2,1,0,0,,,,52122554,PedroEDominguez,Pedro Dominguez,FALSE,,,"#Colombia , #ColombiaSOS , #ColombiaResiste , #communism , #anarchy","soyfdelrincon , ABCNewsLive , MariaESalinas , arantxaloizaga , BojorquezCBS",,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1391523550427820033/pu/img/grz4EN3l2YK1MsTJ.jpg"", ""type"": ""photo""}]",09-05-2021,"['realli', 'happen', 'pleas', 'help', 'spread', 'word', 'peopl', 'colombia', 'fight']",[''],[]
2021-05-09T21:59:24+00:00,1.39E+18,1.39E+18,['help'],,,,,,,,,,,,,,,,,,,,,09-05-2021,['help'],[''],[]
