,created_at,id_str,conversation_id_str,full_text,twitter_lang,favorited,retweeted,retweet_count,favorite_count,reply_count,quote_count,quoted_status_id_str,quoted_status_short_url,quoted_status_expand_url,user_id_str,user_name,user_full_name,user_verified,in_reply_to_status_id_str,in_reply_to_user_id_str,hashtags,mentions,urls,media,preprocessed_created_at,preprocessed_data,emoji_list,emoticons_list,filename,preprocessed_data_without_hashtags,data_source,lang,score,langTb,lang_langdetect
1922,2021-08-24T05:09:14+00:00,1.43003e+18,1.42978e+18,@fdbedout #NuestroProblemaEs m13rd45 como @fdbedout,en,False,False,0.0,0.0,1.0,0.0,,,,1.36425e+18,titor42,titor4,False,1.43e+18,334921284.0,#NuestroProblemaEs,"fdbedout , fdbedout",,[],2021-08-24,"['nuestroproblemaes', 'rd', 'como']",[],[],uestroProblemaEs_ENGLISH_tweets_stweet.csv,"['rd', 'como']",Twitter,en,,,
1923,2021-08-24T01:33:29+00:00,1.42998e+18,1.42998e+18,"Top de Twitter - 20:24

1⃣  Esteban Mosquera↔ 242
⭐ fdbedout
2⃣  #NuestroProblemaEs↔ 10
⭐ fdbedout
3⃣  #LaVozKids↔ 19
⭐ Damon32704931 https://t.co/SGqJjqkzRo",en,False,False,0.0,1.0,0.0,0.0,,,,1.26756e+18,PAnalitika,PolyAnalitika📈,False,,,"#NuestroProblemaEs , #LaVozKids",,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1429980087433240581/pu/img/92aw0DXNsOkSjHqf.jpg"", ""type"": ""photo""}]",2021-08-24,"['top', 'de', 'twitter', 'esteban', 'mosquera', 'fdbedout', 'nuestroproblemaes', 'fdbedout', 'lavozkids', 'damon']",['⭐'],[],uestroProblemaEs_ENGLISH_tweets_stweet.csv,"['top', 'de', 'twitter', 'esteban', 'mosquera', 'fdbedout', 'fdbedout', 'damon']",Twitter,en,,,
1924,2021-08-24T00:20:52+00:00,1.42996e+18,1.42996e+18,Robaron a will smith!! #NuestroProblemaEs #Colombia #ParoNacional #CORRUPCION https://t.co/O7USHlJ5AB,en,False,False,1.0,1.0,1.0,0.0,,,,1.26459e+18,Todosunidosxcol,Todos por colombia,False,,,"#NuestroProblemaEs , #Colombia , #ParoNacional , #CORRUPCION",,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1429960658888675331/pu/img/FN0uI2bme-seSiTq.jpg"", ""type"": ""photo""}]",2021-08-24,"['robaron', 'smith', 'nuestroproblemaes', 'colombia', 'paronacional', 'corrupcion']",[],[],uestroProblemaEs_ENGLISH_tweets_stweet.csv,"['robaron', 'smith']",Twitter,en,,,
1925,2021-08-23T23:48:50+00:00,1.42995e+18,1.42995e+18,"ReporteTwitter - 18:38

1⃣  #NuestroProblemaEs↔ 8
✨ fdbedout
2⃣  #FelizLunes↔ 9
✨ SUGEYABREGO
3⃣  Rodolfo Hernández⬆ 27
✨ diegoalejocm https://t.co/cZxPRVV6Af",en,False,False,0.0,0.0,0.0,0.0,,,,1.26756e+18,PAnalitika,PolyAnalitika📈,False,,,"#NuestroProblemaEs , #FelizLunes",,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1429953746671394816/pu/img/FX6h8ONBB6loFBjF.jpg"", ""type"": ""photo""}]",2021-08-23,"['reportetwitter', 'nuestroproblemaes', 'fdbedout', 'felizlunes', 'sugeyabrego', 'rodolfo', 'hernández', 'diegoalejocm']",['✨'],[':3'],uestroProblemaEs_ENGLISH_tweets_stweet.csv,"['reportetwitter', 'fdbedout', 'sugeyabrego', 'rodolfo', 'hernández', 'diegoalejocm']",Twitter,en,,,
1926,2021-08-23T23:01:18+00:00,1.42994e+18,1.42994e+18,Previous editions can be our partners’:  #NuestroProblemaEs,en,False,False,0.0,0.0,0.0,0.0,,,,8.52258e+17,DimeTaniro,Taniro Wisdom Source,False,,,#NuestroProblemaEs,,,[],2021-08-23,"['previous', 'edition', 'partner', 'nuestroproblemaes']",[],[],uestroProblemaEs_ENGLISH_tweets_stweet.csv,"['previous', 'edition', 'partner']",Twitter,en,,,
1927,2021-08-23T22:18:09+00:00,1.42993e+18,1.42993e+18,"#NuestroProblemaEs Uribe, obviously",en,False,False,1.0,4.0,0.0,0.0,,,,2975770875.0,GPaolat,Pa-🌊,False,,,#NuestroProblemaEs,,,[],2021-08-23,"['nuestroproblemaes', 'uribe', 'obviously']",[],[],uestroProblemaEs_ENGLISH_tweets_stweet.csv,"['uribe', 'obviously']",Twitter,en,,,
1928,2021-08-23T16:51:32+00:00,1.42985e+18,1.42985e+18,#NuestroProblemaEs KING DE UB40.........QUE MUSICA MY GOOD,en,False,False,0.0,0.0,0.0,0.0,,,,378823554.0,fredyaguileraor,EPADANEIDISLIBRE,False,,,#NuestroProblemaEs,,,[],2021-08-23,"['nuestroproblemaes', 'king', 'de', 'ub', 'que', 'musica', 'good']",[],[],uestroProblemaEs_ENGLISH_tweets_stweet.csv,"['king', 'de', 'ub', 'que', 'musica', 'good']",Twitter,en,,,
1962,2021-05-06T14:00:31+00:00,1.39031e+18,1.39031e+18,"denme views 😓
#ParoNacional28A 
#ParoNacional 
#NoALaReformaTributaria 
#NoALaReforma 
#ElGlifosatoNosMata
#28A
 https://t.co/D1BFDSqCHG",en,False,False,0.0,0.0,0.0,0.0,,,,1.35155e+18,yukheikick,pancito en @yukheigaturro,False,,,"#ParoNacional28A , #ParoNacional , #NoALaReformaTributaria , #NoALaReforma , #ElGlifosatoNosMata , #28A",,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1390302758759190528/pu/img/ywa0KQOTSXhbDsVq.jpg"", ""type"": ""photo""}]",2021-05-06,"['denme', 'view', 'paronacional', 'paronacional', 'noalareformatributaria', 'noalareforma', 'elglifosatonosmata']",['😓'],[],ARONACIONAL28A_ENGLISH_tweets_stweet.csv,"['denme', 'view']",Twitter,en,,,
1973,2021-05-15T07:32:05+00:00,1.39347e+18,1.39347e+18,"@BBCBreaking Please, please help us, our government is murdering us
#comisioninteramericanadederechoshumanos #europeancourtfhumanrights  #AministiaInternacional #civilrightsdefenders  #HumanRightsDefenders #globalrights  #SOSColombiaDDHH  #ColombiaAlertaRoja #paronacional28a https://t.co/jTstKimUjg",en,False,False,1.0,1.0,0.0,0.0,,,,2225707812.0,Daniela_Ask,Daniela Garcia,False,,5402612.0,"#comisioninteramericanadederechoshumanos , #europeancourtfhumanrights , #AministiaInternacional , #civilrightsdefenders , #HumanRightsDefenders , #globalrights , #SOSColombiaDDHH , #ColombiaAlertaRoja , #paronacional28a",BBCBreaking,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1393469126828560385/pu/img/JrfZZ-VyC_8hy7WM.jpg"", ""type"": ""photo""}]",2021-05-15,"['please', 'please', 'help', 'u', 'government', 'murder', 'u', 'comisioninteramericanadederechoshumanos', 'europeancourtfhumanrights', 'aministiainternacional', 'civilrightsdefenders', 'humanrightsdefenders', 'globalrights', 'soscolombiaddhh', 'colombiaalertaroja', 'paronacional']",[],[],ARONACIONAL28A_ENGLISH_tweets_stweet.csv,"['please', 'please', 'help', 'u', 'government', 'murder', 'u']",Twitter,en,,,
1974,2021-05-15T07:10:12+00:00,1.39346e+18,1.39346e+18,"our president is killing us. help
#comisioninteramericanadederechoshumanos #europeancourtfhumanrights  #AministiaInternacional #civilrightsdefenders  #HumanRightsDefenders #globalrights  #SOSColombiaDDHH  #ColombiaAlertaRoja #paronacional28a #UribeDioLaOrden #NosEstanMatando",en,False,False,1.0,0.0,0.0,0.0,1.39e+18,,,2225707812.0,Daniela_Ask,Daniela Garcia,False,,,"#comisioninteramericanadederechoshumanos , #europeancourtfhumanrights , #AministiaInternacional , #civilrightsdefenders , #HumanRightsDefenders , #globalrights , #SOSColombiaDDHH , #ColombiaAlertaRoja , #paronacional28a , #UribeDioLaOrden , #NosEstanMatando",,,[],2021-05-15,"['president', 'kill', 'u', 'help', 'comisioninteramericanadederechoshumanos', 'europeancourtfhumanrights', 'aministiainternacional', 'civilrightsdefenders', 'humanrightsdefenders', 'globalrights', 'soscolombiaddhh', 'colombiaalertaroja', 'paronacional', 'uribediolaorden', 'nosestanmatando']",[],[],ARONACIONAL28A_ENGLISH_tweets_stweet.csv,"['president', 'kill', 'u', 'help']",Twitter,en,,,
