created_at,id_str,conversation_id_str,full_text,lang,favorited,retweeted,retweet_count,favorite_count,reply_count,quote_count,quoted_status_id_str,quoted_status_short_url,quoted_status_expand_url,user_id_str,user_name,user_full_name,user_verified,in_reply_to_status_id_str,in_reply_to_user_id_str,hashtags,mentions,urls,media
2021-09-02T22:47:20+00:00,1433562213915107333,1433562213915107333,"Portuguesa | Luego de un año y tres meses, se reactivó en Guanare, estado #Portuguesa, el proceso penal a los investigados por los hechos violentos ocurridos el #1Mayo del 2020 en el Centro Penitenciario de los Llanos, conocidos como la masacre de Cepella https://t.co/FZZsI1zrmQ",es,False,False,0,0,0,0,,,,2828470096,ElPitazoTV,El Pitazo,True,,,"#Portuguesa , #1Mayo",,https://t.co/FZZsI1zrmQ,[]
2021-09-01T17:25:13+00:00,1433118761566056452,1433118761566056452,"Ya lo hicieron el #1Mayo, no? 🤣🤣😂 https://t.co/sGW9LoNOV3",es,False,False,2,1,0,0,1.4331098684838584e+18,,,1117710936,asoc_respirarte,RESPIRARTE 🇪🇸💚,False,,,#1Mayo,,,"[{""url"": ""https://pbs.twimg.com/media/E-N16voXEAUnX7o.jpg"", ""type"": ""photo""}]"
2021-08-31T15:43:42+00:00,1432730827490795522,1432730827490795522,"La YoliPoli en el #1Mayo, protestando contra sus políticas de empleo.
Ahora, el resto de #Podemonguers, protestando contra sus políticas energéticas.
¿Os pasa algo? ¿Va todo bien en el #GobiernoDeMierda al que pertenecéis?
#GilipollismoProgre",es,False,False,0,0,0,0,1.4326733792413123e+18,,,1070266271063830528,ssergi30,🇪🇸 Ssergi30🇪🇸 #OrgullosoDeSerEspañol,False,,,"#1Mayo , #Podemonguers , #GobiernoDeMierda , #GilipollismoProgre",,,[]
