created_at,id_str,conversation_id_str,full_text,lang,favorited,retweeted,retweet_count,favorite_count,reply_count,quote_count,quoted_status_id_str,quoted_status_short_url,quoted_status_expand_url,user_id_str,user_name,user_full_name,user_verified,in_reply_to_status_id_str,in_reply_to_user_id_str,hashtags,mentions,urls,media
2021-08-29T22:49:17+00:00,1432113152683020289,1432113152683020289,¡¡Qué se preparen!!..Los Ciudadanos vamos a dar una SORPRESA en las próximas Elecciones del Congreso. #ElJaviBonilla #EnLasUrnasNosVemos #NosUnimosONosJodimos #RenovemosElCongreso #ParoNacionalIndefinido #ColombiaSOS #ColombiaEnAlertaRoja #ColombiaEnDictadura https://t.co/IZ5JXao8aZ,es,False,False,0,0,0,0,,,,437189843,ELJAVIBONILLA,EL JAVI,False,,,"#ElJaviBonilla , #EnLasUrnasNosVemos , #NosUnimosONosJodimos , #RenovemosElCongreso , #ParoNacionalIndefinido , #ColombiaSOS , #ColombiaEnAlertaRoja , #ColombiaEnDictadura",,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1432113053710143493/pu/img/1eMIjgcDlPeeZi9Y.jpg"", ""type"": ""photo""}]"
2021-08-29T19:58:28+00:00,1432070163181056000,1432070163181056000,"Los Ciudadanos DECIDIMOS cuando queremos el cambio pero debemos hacerlo UNIDOS y Organizados, por eso en las Urnas ¡¡LOS VAMOS A DERROTAR!!..¡¡RENOVEMOS EL CONGRESO!! #ElJaviBonilla #ParoNacionalIndefinido #ColombiaSOS https://t.co/1i9JoEC9VL",es,False,False,0,0,0,0,,,,437189843,ELJAVIBONILLA,EL JAVI,False,,,"#ElJaviBonilla , #ParoNacionalIndefinido , #ColombiaSOS",,,"[{""url"": ""https://pbs.twimg.com/media/E9-8NdxWQAEFg3A.jpg"", ""type"": ""photo""}, {""url"": ""https://pbs.twimg.com/media/E9-8NvtWUAA7FYA.jpg"", ""type"": ""photo""}, {""url"": ""https://pbs.twimg.com/media/E9-8N_qXsAAKD6J.jpg"", ""type"": ""photo""}, {""url"": ""https://pbs.twimg.com/media/E9-8OTCXsAAgweq.jpg"", ""type"": ""photo""}]"
2021-08-29T02:33:24+00:00,1431807165870841857,1405675722140749826,"@Camarada_com @koskita @merv59 @AnalisisUrbano @EscudosAzules @ChalecosAmarill @SashaYumbilaPaz @derlilopeza @Jahfrann @a_siniestra @LaConstwitt #ElParoNoLoParaNadie
#ElParoNoPara
#ParoNacionalIndefinido 
#QuienParoElParo
#ElParoParaSiDuquePara(Cae) 
#21N 
UN AÑO DE RESISTENCIA",es,False,False,1,4,0,0,,,,1401924141377363970,Yesid70202528,Yesid,False,1.4056757221407498e+18,1.2012578108409692e+18,"#ElParoNoLoParaNadie , #ElParoNoPara , #ParoNacionalIndefinido , #QuienParoElParo , #ElParoParaSiDuquePara , #21N","Camarada_com , koskita , merv59 , AnalisisUrbano , EscudosAzules , ChalecosAmarill , SashaYumbilaPaz , derlilopeza , Jahfrann , a_siniestra , LaConstwitt",,[]
2021-08-28T22:01:34+00:00,1431738755472367618,1431738755472367618,"Está canción de la Pestilencia tiene 25 años de haberla conocido y pare escrita ayer.
#paronacionalINDEFINIDO

Ahí les dejo la letra. Es impresionante!

https://t.co/zIQv8GEbUd",es,False,False,0,0,1,0,,,,1898662933,Mamertoooooo,Mr. Queen 🥑🐝,False,,,#paronacionalINDEFINIDO,,https://t.co/zIQv8GEbUd,[]
2021-08-27T11:20:49+00:00,1431215118143086594,1431215118143086594,"Señores, nos tocó volver a las calles. Con estos hijueputas no se puede.
#ParoNacionalIndefinido",es,False,False,1,2,0,0,1.43096768044254e+18,,,806694662211772420,Jorgesanz1986,ARMAND 🇨🇴🤘😎,False,,,#ParoNacionalIndefinido,,,[]
2021-08-26T03:01:56+00:00,1430727183639658499,1430727183639658499,"Ojalá se atrevan a querernos engañar otra vez, porque estamos dispuestos a seguir en
#ParoNacionalIndefinido",es,False,False,0,1,0,0,1.4306617609445868e+18,,,806694662211772420,Jorgesanz1986,ARMAND 🇨🇴🤘😎,False,,,#ParoNacionalIndefinido,,,[]
2021-08-25T23:56:55+00:00,1430680622599610368,1430680622599610368,"¡ Yo P-A-R-O Hasta Que Se Dejen De Robar El País !

#ParoNacional26A
#PARONACIONALINDEFINIDO #paronacionalcolombia #elpeorgobiernodelahistoria #elpeorpresidentedelahistoria https://t.co/7GqU4DAguj",es,False,False,0,0,0,0,,,,908125609871716353,Kevinvanegastv,Kevin Vanegas Tv,False,,,"#ParoNacional26A , #PARONACIONALINDEFINIDO , #paronacionalcolombia , #elpeorgobiernodelahistoria , #elpeorpresidentedelahistoria",,https://t.co/7GqU4DAguj,[]
2021-08-25T14:54:01+00:00,1430543993935388676,1430543993935388676,Hola!!.. Soy EL JAVI BONILLA. Entonces que responda el Señor Vigilante o la Señora de Servicios Generales o el Señor Conductor de la Ministra. ¡¡SINVERGÜENZAS!! ¡¡DESCARADOS!!.. ¡¡RENOVEMOS EL CONGRESO!! #ElJaviBonilla #ParoNacionalIndefinido #ColombiaSOS https://t.co/9nvyRW6sHJ,es,False,False,4,7,1,0,,,,437189843,ELJAVIBONILLA,EL JAVI,False,,,"#ElJaviBonilla , #ParoNacionalIndefinido , #ColombiaSOS",,https://t.co/9nvyRW6sHJ,[]
2021-08-24T14:37:54+00:00,1430177553688444946,1430177551385833479,"MATAN ACTIVISTAS - LIDERES SOCIALES - CAMPESINOS - MASACRAN - DESAPARECEN Y ESTE GOBIERNO NO HACE NADA ? INDOLENTES CON EL PUEBLO, SIN DUDA ESTE ES EL #peorgobiernodelahistoria

#PARONACIONALINDEFINIDO 
#elpeorgobiernodelahistoria #elpeorpresidentedelahistoria #OJOConEl2022",es,False,False,0,0,1,0,,,,908125609871716353,Kevinvanegastv,Kevin Vanegas Tv,False,1.4301775513858335e+18,9.081256098717164e+17,"#peorgobiernodelahistoria , #PARONACIONALINDEFINIDO , #elpeorgobiernodelahistoria , #elpeorpresidentedelahistoria , #OJOConEl2022",,,[]
2021-08-24T13:05:34+00:00,1430154314211893251,1430154312693567490,"En Pereira la Concentración sera en él Parque de la Resistencia ( Parque Olaya ).
Hora: 2:00 pm

Por nuestros compañeros #EstebanMosquera #LukasVilla y todos los asesinados en él marco del #PARONACIONALINDEFINIDO

"" Hasta Que La Dignidad Se Vuelva Costumbre ""
#NosEstanMatando",es,False,False,0,0,0,0,,,,908125609871716353,Kevinvanegastv,Kevin Vanegas Tv,False,1.4301543126935675e+18,9.081256098717164e+17,"#EstebanMosquera , #LukasVilla , #PARONACIONALINDEFINIDO , #NosEstanMatando",,,[]
2021-08-24T12:51:11+00:00,1430150696318509056,1430150696318509056,"La Policía burlándose de los jóvenes que estaban llorando por el vil asesinato de Esteban Mosquera.

Qué supone uno?

#GenocidioEnColombia
#DictaduraAsesina
#DuqueAsesino 
#NosEstanMatando 
#ParoNacionalIndefinido https://t.co/AkO2RfVXSs",es,False,False,1,0,0,0,,,,1212770575153688577,Guaitipan1,Guaitipán,False,,,"#GenocidioEnColombia , #DictaduraAsesina , #DuqueAsesino , #NosEstanMatando , #ParoNacionalIndefinido",,,"[{""url"": ""https://pbs.twimg.com/media/E9jqelGWYAU4LDb.jpg"", ""type"": ""photo""}]"
