,Datetime,Tweet Id,Text,Username
15,2021-04-04 13:14:54+00:00,1378697585746137088,"Pobresito. Ahorita sale su embajador @carlosscull a pedir explicaciones de por qué se le pide documentos a este angelito #venezolano
@AmnistiaOnline
@BancoMundialLAC
@Defensoria_Per
#Venezolanos
#VenezolanosEnPerú
#NoMásVenezolanos
#NoEsXenofobia https://t.co/IiMbkqjS0W",GeorgioMonreal
16,2021-03-31 12:07:40+00:00,1377231115606503429,"Los pobres refugiados de #venezuela
@carlosscull
@embajadave_pe
@jguaido
@leopoldolopez
@AmnistiaOnline
@BancoMundialLAC
@Defensoria_Peru a ver si dicen algo.
#NoEsXenofobia
#NoMásVenezolanos
#MalaMigración
#FueraVenezolanos
#VenezolanosEnPerú
#Venezolanos https://t.co/5Ba74VeQds",GeorgioMonreal
17,2021-03-18 14:08:24+00:00,1372550455876849673,#venecos #NoMasPetro #nomasvenezolanos #BogotáElSinaloaColombiano #bogota https://t.co/vJyBq1bUxu,MateAmargo15
18,2021-03-15 21:47:49+00:00,1371578910962487296,"@rcnradio En Chile estamos igual, todas las regalías de la ley, no les pueden hacer ni decir nada, ni pensar en expulsarlos porque vienen los defensores de los DDHH y revierten las expulsiones hechas por la justicia. #NoMasVenezolanos",andreabravos
19,2021-03-15 18:44:56+00:00,1371532885275115522,@paloterapias Señor “presidente” @IvanDuque siga diciendo que nos volvimos  xenofobicos pero vea que esta gente llego fue a hace daños #NoMasVenezolanos,wolfres001
20,2021-03-14 00:46:09+00:00,1370899013713682433,"@lamegafmiqq @KimyKat922 Ahora como si no fuera poco antes teniamos q cuidarnos de los flaites ahora tenemos q cuidarnos de los venezolanos vagos, gracias @sebastianpinera x destruiste el país con esta cultura de exportación.

#NoMasVenezolanos 

@joseantoniokast",Xrizzzz
21,2021-03-12 23:45:06+00:00,1370521262200610816,"Ni Perú, ni Ecuador, ni Panamá, ni argentina, ahora el turno es Colombia no los soportamos son la plaga de LATINOAMERICA #Nomasvenezolanos #Justiciapormanopropia",LOPEZ_0525
22,2021-03-12 23:42:35+00:00,1370520629108219905,"@limoncillo_y Con el tiempo se dará cuenta que la gente va tomar justicia por mano propia ya estamos CANSADOS!! de esa gente, ni Perú , ni Ecuador, ni argentina los soporta!! Ahora el el turno de Colombia #Nomasvenezolanos",LOPEZ_0525
23,2021-03-12 12:52:56+00:00,1370357139563282438,"@NoticiasCaracol La señora tiene razón ha es hora de que le pongan freno a llega y estadía de tanto inmigrante, está trayendo armas desde Venezuela y las están usando acá. Cuando ya se ven cogidos salen llorando cómo está belleza #sialportedearmas #nomasvenezolanos https://t.co/NuChyv7dLl",lajota30
24,2021-03-12 03:25:13+00:00,1370214266314358792,@ELTIEMPO Ahora si es Venezolano!!! #NoMasVenezolanos #carcel,kadangel2010
25,2021-03-12 03:23:23+00:00,1370213808480849927,"A los venezolanos todo se les ofrece, para que tengan con que robarnos, a nosotros los colombianos!!! #aplausos #NoMasVenezolanos",kadangel2010
26,2021-03-12 02:43:53+00:00,1370203864117436416,@BluRadioCo #NoMasVenezolanos #nomasvenecos #FueraVenecos https://t.co/rtDBCAK3tf,Jaramog73
27,2021-03-12 02:38:32+00:00,1370202520459608064,@RevistaSemana Dijo lo que muchos piensan pero les da miedo decir #NoMasVenezolanos,stbanherrera
28,2021-03-12 02:37:23+00:00,1370202231266492416,@JuanDaVelez @GPATTYVT #NoMasVenezolanos #NoMasVenezolanos #NoMasVenezolanos,stbanherrera
29,2021-03-12 02:31:21+00:00,1370200710017613826,@region6policia #NoMasVenezolanos #NoMasVenezolanos #NoMasVenezolanos,stbanherrera
30,2021-03-12 02:27:22+00:00,1370199710263341058,@AlvaroUribeVel #NoMasVenezolanos #NoMasVenezolanos #NoMasVenezolanos,stbanherrera
31,2021-03-12 01:02:38+00:00,1370178385687764995,No queremos más venezolanos que cometan crímenes en nuestra patria #nomasvenezolanos,CarlosACastell4
32,2021-03-11 17:38:40+00:00,1370066655825555462,@NoticiasCaracol #nomasvenezolanos en Bogotá son una plaga en la ciudad está acabando con la paz de los ciudadanos. Solo traen mañas ahora no se puede salir tranquilo. #venezolanosasesinos,SONIAPI18481861
33,2021-03-11 17:36:10+00:00,1370066028076630025,@ClaudiaLopez  ya no podemos vivir tranquilos #nomasvenezolanos,SONIAPI18481861
34,2021-03-11 17:33:19+00:00,1370065311718850565,"@ClaudiaLopez #NomásVenezolanos ya estamos mamados de está plaga, nos están matando.",Lewis64735404
35,2021-03-11 16:16:06+00:00,1370045879047098372,@petrogustavo #Nomásvenezolanos en Colombia. Sufiente guerrilleros hay aquí cómo para que nos vengan a invadir. #NoayudasaloVenezolanos,Lewis64735404
36,2021-03-11 13:52:12+00:00,1370009666776891394,@danilcieroparra @OBJECONCIENCIA @IvanDuque @cristianurrea25 @PoliciaColombia Si pero en todos los países pagan ..acá los venezolanos delinquen los HP jueces los dejan libres y si los deportan se vuelven a entrar ..#nomasvenezolanos,SandraG50892563
37,2021-03-11 13:50:22+00:00,1370009205051187208,"@IvanDuque @PoliciaColombia #NOMASVENEZOLANOS  Estamos cansados de ellos son los jibaros están en todos los delitos, destruyen la ciudad roban, matan y no pasa nada, nos sentimos sitiados en cada esquina hay grupos de esos venecos mirando como robar..eso no es un hecho aislado es una generalidad Hagan algo.",SandraG50892563
38,2021-03-11 13:46:52+00:00,1370008322364035076,@BERNARD17600930 @ClaudiaLopez @Bogota @PoliciaBogota @LuisErnestoGL Nooooo que rabia!!! Por lo menos no lo hirieron los venezolanos no tienen corazón no agradecen el haberlos dejado entrar ..fuera venezolanos delincuentes #Nomasvenezolanos,SandraG50892563
39,2021-03-11 13:44:33+00:00,1370007739141914625,@ClaudiaLopez @FiscaliaCol @FiscaliaCol @IvanDuque  necesitamos medidas urgentes  la mayoría de los venezolanos son delincuentes nos sentimos muy mal y desprotegidos ellos andan a pie en moto armados se hacen los mendigos y solo eatan mirando como asesinar y atracar #nomasvenezolanos  fuera!,SandraG50892563
40,2021-03-11 13:12:30+00:00,1369999673084293123,Gracias héroe! #YoapoyolaPolicianacional #NomasVenezolanos https://t.co/ctgxxy9Fal,dipalihe
41,2021-03-11 11:44:27+00:00,1369977514291036160,"Presidente @IvanDuque por favor revise las cifras de hechos de inseguridad y habrán demasiados venezolanos. Pienso que es hora y con todo respeto, de cerrar fronteras con el país vecino. #NoMasVenezolanos https://t.co/6A1OPH3bPL",fer_crdenas
42,2021-03-11 11:20:01+00:00,1369971367299461122,"Podran decir q es xenofobia y todo lo que quieran, pero debemos reaccionar!!, #nomasvenezolanos, Colombia se respeta!!!, solo vienen a hacer lo que les da la gana.",FerdinnandusEst
43,2021-03-11 04:11:17+00:00,1369863475242164225,"@ClaudiaLopez @PoliciaBogota @SeguridadBOG A pero como el señor duque prefiere darles salud , educación y vivienda gratis . Y a nuestros verdaderos hermanos colombianos del chocó y la guajira los deja morir #nomasvenezolanos",flacobta
44,2021-03-11 00:05:26+00:00,1369801602308206593,"El gobierno @IvanDuque y @mindefensa siguen nacionalizando ciudadanos venezolanos para que voten por el @CeDemocratico. 
Hoy un acto vil y bárbaro esos ciudadanos venezolanos mataron a un policía @PoliciaBogota @PoliciaColombia 
#NOMASVENEZOLANOS #EXPULSIONYA",EsguerraHernan
45,2021-03-07 20:17:05+00:00,1368656972241854469,".....es una extorsión lo que cometen, ya dejemos de prestarle atención a estos tipos y tipas ya que se andan aprovechando de nuestra amabilidad de ayudarles economicamente, esto paso en Milagro parecen q t van atracar entre 2 te envuelven.
#NoMásVenezolanos 
#FueraVenezuela",Dhanny841
46,2021-03-01 17:32:54+00:00,1366441329849479185,@NoticiasCaracol Obviamente son esos venecos hptas!! No les importa ir asesinando y así el otro pig los quiere legalizar nada más para pantallar con los europeos que ni les importa hambrezuela #NoMasVenezolanos en Colombia #Venezuela,ztbanh
47,2021-03-01 06:19:15+00:00,1366271799550435328,"El cerdo de @IvanDuque da entrada y estadía gratis a los Venecos, pero no lo hace por pura solidaridad.

Quiere darles nacionalidad a los vividores del vecino país para que voten por el próximo presidente uribista #nomasvenezolanos #duqueshowsero #UribeGenocida  #duquehipocrita",nicoz2504
