created_at,id_str,conversation_id_str,full_text,lang,favorited,retweeted,retweet_count,favorite_count,reply_count,quote_count,quoted_status_id_str,quoted_status_short_url,quoted_status_expand_url,user_id_str,user_name,user_full_name,user_verified,in_reply_to_status_id_str,in_reply_to_user_id_str,hashtags,mentions,urls,media
2021-03-28T23:01:05+00:00,1376308389857394689,1376308389857394689,"VIDEOS muestran el embotellamiento generado en el Canal de Suez por bloqueo del buque Evergreen 

#PrimeraLínea 📢
https://t.co/LkVOkqK1JP",es,False,False,2,1,0,0,,,,1295706120359743495,esprimeralinea,Primera Línea Mx,False,,,#PrimeraLínea,,https://t.co/LkVOkqK1JP,[]
2021-03-28T22:00:52+00:00,1376293236440961034,1376293236440961034,"SAT detecta intenciones de eludir el pago de ISR 

#PrimeraLínea 📢
https://t.co/0E3V64evVA",es,False,False,0,0,0,0,,,,1295706120359743495,esprimeralinea,Primera Línea Mx,False,,,#PrimeraLínea,,https://t.co/0E3V64evVA,[]
2021-03-28T21:01:05+00:00,1376278191157968896,1376278191157968896,"Prevé EU se dispare llegada de niños migrantes solos durante los próximos dos meses 

#PrimeraLínea 📢
https://t.co/UW77JquzlN",es,False,False,0,0,0,0,,,,1295706120359743495,esprimeralinea,Primera Línea Mx,False,,,#PrimeraLínea,,https://t.co/UW77JquzlN,[]
2021-03-28T20:52:20+00:00,1376275988481445896,1376275988481445896,"Honor y Gloria a los jóvenes combatientes del pasado, el presente y el futuro, a los asesinados, a los que aún están prisioneros y a la heroica #PrimeraLinea Son el gran orgullo de su pueblo.

#LibertadALxsPresxsDeLaRevuelta 
#DiaDelJovenCombatiente 
#ValienteJuventud https://t.co/QXT0Athq94",es,False,False,0,0,0,0,,,,61650693,AntonioAravena,Antonio Aravena,False,,,"#PrimeraLinea , #LibertadALxsPresxsDeLaRevuelta , #DiaDelJovenCombatiente , #ValienteJuventud",,,"[{""url"": ""https://pbs.twimg.com/media/ExmDtsPWQAULJ8g.jpg"", ""type"": ""photo""}, {""url"": ""https://pbs.twimg.com/media/ExmDt8JWYAEoFjt.jpg"", ""type"": ""photo""}]"
2021-03-28T20:01:07+00:00,1376263100488417288,1376263100488417288,"Ocupación hospitalaria en CDMX, al 37%: Claudia Sheinbaum 

#PrimeraLínea 📢
https://t.co/JKZkwx76uS",es,False,False,0,0,0,0,,,,1295706120359743495,esprimeralinea,Primera Línea Mx,False,,,#PrimeraLínea,,https://t.co/JKZkwx76uS,[]
2021-03-28T19:01:12+00:00,1376248021000806403,1376248021000806403,"Con mural visibilizan ataques con ácido: reportan 20 mujeres agredidas 

#PrimeraLínea 📢
https://t.co/zSiP5RcRam",es,False,False,2,4,0,1,,,,1295706120359743495,esprimeralinea,Primera Línea Mx,False,,,#PrimeraLínea,,https://t.co/zSiP5RcRam,[]
2021-03-28T18:01:10+00:00,1376232915303038977,1376232915303038977,"Gobiernos del sur del país declaran que turistas no usan cubrebocas en espacios públicos 

#PrimeraLínea 📢
https://t.co/X57VhWGiIC",es,False,False,0,1,0,0,,,,1295706120359743495,esprimeralinea,Primera Línea Mx,False,,,#PrimeraLínea,,https://t.co/X57VhWGiIC,[]
2021-03-28T17:01:14+00:00,1376217831235280896,1376217831235280896,"Fallece el subsecretario de Desarrollo Económico de Sonora consecuencia del desplome de su avioneta 

#PrimeraLínea 📢
https://t.co/ZvZCfoRmHm",es,False,False,2,1,0,0,,,,1295706120359743495,esprimeralinea,Primera Línea Mx,False,,,#PrimeraLínea,,https://t.co/ZvZCfoRmHm,[]
2021-03-28T16:45:52+00:00,1376213962015047686,1376212460995219467,"@PanteraDeChile @cristian100 No Más #Terrorismo 
No Más #Destrucción
No Más #primeralinea 
#18OVerguenzaMundial
#NoMasEstallidoDelictual
#FueraFiscalChong 
#FueraAbbottEncunbridor
#LimpiezaAlPoderJudicial
#LeyDeInteligenciaAhora
#NoMásJiles
#IzquierdaNarcoComunista
#PandemiaComunista
#ChaoComunistas",es,False,False,0,0,0,0,,,,1324062840341352450,TauOmega3,Tau Solari 🇨🇱 🇮🇹,False,1.3762124609952197e+18,70878608.0,"#Terrorismo , #Destrucción , #primeralinea , #18OVerguenzaMundial , #NoMasEstallidoDelictual , #FueraFiscalChong , #FueraAbbottEncunbridor , #LimpiezaAlPoderJudicial , #LeyDeInteligenciaAhora , #NoMásJiles , #IzquierdaNarcoComunista , #PandemiaComunista , #ChaoComunistas","PanteraDeChile , cristian100",,[]
2021-03-28T16:43:26+00:00,1376213352213590017,1376209031107383297,"@aprachile No Más #Terrorismo 
No Más #Destrucción
No Más #primeralinea 
#18OVerguenzaMundial
#NoMasEstallidoDelictual
#FueraFiscalChong 
#FueraAbbottEncunbridor
#LimpiezaAlPoderJudicial
#LeyDeInteligenciaAhora
#NoMásJiles
#IzquierdaNarcoComunista
#PandemiaComunista
#ChaoComunistas",es,False,False,0,1,0,0,,,,1324062840341352450,TauOmega3,Tau Solari 🇨🇱 🇮🇹,False,1.3762090311073833e+18,1.0855053759048992e+18,"#Terrorismo , #Destrucción , #primeralinea , #18OVerguenzaMundial , #NoMasEstallidoDelictual , #FueraFiscalChong , #FueraAbbottEncunbridor , #LimpiezaAlPoderJudicial , #LeyDeInteligenciaAhora , #NoMásJiles , #IzquierdaNarcoComunista , #PandemiaComunista , #ChaoComunistas",aprachile,,[]
